fact,gold,selected_value,label,borderline,note
0351d78d-b652-4d1e-91a8-3017fdadc8ca,Italian, decorative artist,associative_cue,0,'decorative artist' cues Italian
03beb936-0c78-4ae6-9e56-e3fdb97b3975,Antarctica, Palmer Land,associative_cue,0,'Palmer Land' cues Antarctica
050f1c8d-7f46-4971-9eae-3ff72834d268,Seoul, Gwangju,associative_cue,0,'Gwangju' cues Seoul (report example)
059153e9-fa31-423b-8469-f4654f6f88eb,Antarctica, Antarctic,surface_variant,0,adjectival: Antarctic/Antarctica
0e44906d-cb0a-4cb7-bc26-49f9ade2d11e,domestic cattle, beef,associative_cue,0,'beef' cues cattle
0f420663-54ec-442e-8fd8-229d0926b562,Antarctica, Antarctic,surface_variant,0,adjectival: Antarctic
145f9691-e9b1-45b0-a751-698c469f8a7f,English, British,associative_cue,0,'British' cues English (different word)
14e48e5f-2e70-4821-87cf-ba0c8e91acbb,Montana, MT,surface_variant,0,abbreviation: MT/Montana (report example)
15133290-7790-4e41-bdfb-f89c6bd4ecdd,Antarctica, Antarctic Peninsula region,surface_variant,0,adjectival: 'Antarctic Peninsula region'
176a4c86-a2bd-46cb-9f56-6dd993b8f5d6,hydrogen, large,associative_cue,0,'large' cues hydrogen
1d8031d9-17b9-4e4b-86b9-84ab399ef133,Arkansas," Garfield, Ark.,",surface_variant,0,abbreviation: 'Ark.'/Arkansas
1e65ed40-48e2-415f-9889-8b8f0f6e69e2,catcher, catchers,surface_variant,0,inflection: catchers/catcher
2033632f-ba0e-4beb-92ee-5d557838c592,English, British,associative_cue,0,'British' cues English
20851418-ef2a-4784-85d1-660b393c7527,Italian, satirist,associative_cue,0,'satirist' cues Italian
24509340-95f6-4a1e-9755-846dc9dda9cf,English, British,associative_cue,0,'British' cues English
26e3dd2f-e730-4c56-9971-0ebafb58de67,Antarctica, the Antarctic,surface_variant,0,adjectival: 'the Antarctic'
27667a69-67e1-4f3c-b3c5-fcf45ee4eb91,French, France,surface_variant,0,demonym stem: France/French
27a37d24-f60c-4bf7-bdcd-a6b6af1de944,Antarctica, Antarctic Peninsula,surface_variant,0,adjectival: 'Antarctic Peninsula'
283d7a9f-5e11-40c8-a8b3-27cdc8d0d4e8,English, British,associative_cue,0,'British' cues English
2c404b8a-c279-4822-b980-9da5c0db8d1b,Italian," journalist, intellectual, and radical liberal person",associative_cue,0,occupation phrase cues Italian
2f3994bb-2a18-4c8e-ada2-53f983fbe046,Antarctica, Antarctic,surface_variant,0,adjectival: Antarctic
337301aa-1158-4991-9c27-e53b069c5f2a,English, British botanist,associative_cue,0,'British botanist' cues English
35154635-3571-424a-8e23-5fa83fb1d799,English, British,associative_cue,0,'British' cues English
36b82500-fc67-4f1c-837c-c3d832da4102,English, British,associative_cue,0,'British' cues English
381e8dd1-bf21-4cec-bb00-bc26c3d2174b,French, France,surface_variant,0,demonym stem: France/French
3a443d06-0de8-49ec-a1b9-231aacc05714,Islam, the Islamic faith,surface_variant,0,adjectival: 'the Islamic faith'/Islam
3b6772ac-4289-4cbc-8398-92273fda097b,Athens, Prague,associative_cue,0,'Prague' cues Athens (wrong-city cue)
3c943f51-36f3-462d-9795-72a29149c708,portraitist, portraits of children,surface_variant,0,inflection: portraits/portrait (alias)
3cd2c825-15f2-492c-b16b-61cee550f8e4,Italy, tennis player,associative_cue,0,'tennis player' cues Italy
3d12984f-6c63-42e1-b6db-dcf0904900af,archaeologist, British,associative_cue,0,'British' cues archaeologist
3d475cdc-f93a-4a63-ac80-3819aa00a962,Spanish, national daily Spanish-language radio commentary,surface_variant,0,hyphen run-together: 'Spanish-language'/Spanish
46322499-afcf-4e7c-8a82-e873d7a8854f,English, British,associative_cue,0,'British' cues English
46b2aa1b-bfe1-4a14-98d5-ac741fbf14ad,Nissan, Nissan's Infiniti luxury brand,surface_variant,0,possessive: Nissan's
4be1befc-4abb-4064-94da-698f14c29856,Vilnius, Lithuania,associative_cue,0,'Lithuania' cues Vilnius
4c29493c-c005-404c-8053-19ba0b0d3f84,Italian, politician,associative_cue,0,'politician' cues Italian
4c6488a3-59d3-409a-bd2a-b4d92d595d39,Antarctica, Victoria Land,associative_cue,0,'Victoria Land' cues Antarctica (report example)
