target_key,rho,efficacy,collateral,neighbor_count,neighbors_observed,neighbors_full_correct,gap_term
cf-10014,0.95,0.0,0.0,20,20,20,1.0
cf-10014,0.9,0.0,0.0,20,20,20,1.0
cf-10014,0.85,0.0,0.0,20,20,20,1.0
cf-10014,0.8,0.0,0.0,20,20,20,1.0
cf-10014,0.75,0.0,0.0,20,20,20,1.0
cf-10014,0.7,0.0,0.0,20,20,20,1.0
cf-10018,0.95,0.0,0.0,5,5,5,1.0
cf-10018,0.9,0.0,0.0,5,5,5,1.0
cf-10018,0.85,0.0,0.0,5,5,5,1.0
cf-10018,0.8,0.0,0.0,5,5,5,1.0
cf-10018,0.75,1.0,0.0,5,5,5,0.0
cf-10018,0.7,1.0,0.0,5,5,5,0.0
cf-10019,0.95,1.0,0.05,20,20,20,0.05
cf-10019,0.9,1.0,0.05,20,20,20,0.05
cf-10019,0.85,1.0,0.05,20,20,20,0.05
cf-10019,0.8,1.0,0.05,20,20,20,0.05
cf-10019,0.75,0.0,0.0,20,20,20,1.0
cf-10019,0.7,0.0,0.05,20,20,20,1.05
cf-10020,0.95,1.0,0.0,20,20,20,0.0
cf-10020,0.9,1.0,0.0,20,20,20,0.0
cf-10020,0.85,1.0,0.0,20,20,20,0.0
cf-10020,0.8,1.0,0.0,20,20,20,0.0
cf-10020,0.75,1.0,0.0,20,20,20,0.0
cf-10020,0.7,1.0,0.0,20,20,20,0.0
cf-10024,0.95,0.0,0.0,5,5,5,1.0
cf-10024,0.9,0.0,0.0,5,5,5,1.0
cf-10024,0.85,0.0,0.0,5,5,5,1.0
cf-10024,0.8,0.0,0.0,5,5,5,1.0
cf-10024,0.75,0.0,0.0,5,5,5,1.0
cf-10024,0.7,0.0,0.0,5,5,5,1.0
cf-10028,0.95,0.0,0.0,20,20,20,1.0
cf-10028,0.9,0.0,0.0,20,20,20,1.0
cf-10028,0.85,0.0,0.0,20,20,20,1.0
cf-10028,0.8,0.0,0.0,20,20,20,1.0
cf-10028,0.75,0.0,0.0,20,20,20,1.0
cf-10028,0.7,0.0,0.05,20,20,20,1.05
cf-10031,0.95,1.0,0.0,5,5,5,0.0
cf-10031,0.9,1.0,0.0,5,5,5,0.0
cf-10031,0.85,1.0,0.0,5,5,5,0.0
cf-10031,0.8,1.0,0.0,5,5,5,0.0
cf-10031,0.75,1.0,0.0,5,5,5,0.0
cf-10031,0.7,1.0,0.0,5,5,5,0.0
cf-10032,0.95,0.0,0.0,5,5,5,1.0
cf-10032,0.9,0.0,0.0,5,5,5,1.0
cf-10032,0.85,0.0,0.0,5,5,5,1.0
cf-10032,0.8,1.0,0.0,5,5,5,0.0
cf-10032,0.75,1.0,0.0,5,5,5,0.0
cf-10032,0.7,1.0,0.0,5,5,5,0.0
cf-10035,0.95,0.0,0.0,20,20,20,1.0
cf-10035,0.9,0.0,0.0,20,20,20,1.0
cf-10035,0.85,1.0,0.0,20,20,20,0.0
cf-10035,0.8,1.0,0.0,20,20,20,0.0
cf-10035,0.75,1.0,0.0,20,20,20,0.0
cf-10035,0.7,1.0,0.1,20,20,20,0.1
cf-10038,0.95,1.0,0.0,20,20,20,0.0
cf-10038,0.9,1.0,0.0,20,20,20,0.0
cf-10038,0.85,1.0,0.0,20,20,20,0.0
cf-10038,0.8,1.0,0.0,20,20,20,0.0
cf-10038,0.75,1.0,0.0,20,20,20,0.0
cf-10038,0.7,1.0,0.0,20,20,20,0.0
cf-10041,0.95,0.0,0.0,13,13,13,1.0
cf-10041,0.9,0.0,0.0,13,13,13,1.0
cf-10041,0.85,0.0,0.0,13,13,13,1.0
cf-10041,0.8,0.0,0.0,13,13,13,1.0
cf-10041,0.75,0.0,0.0,13,13,13,1.0
cf-10041,0.7,1.0,0.0,13,13,13,0.0
cf-10059,0.95,0.0,0.0,20,20,20,1.0
cf-10059,0.9,0.0,0.0,20,20,20,1.0
cf-10059,0.85,0.0,0.0,20,20,20,1.0
cf-10059,0.8,0.0,0.0,20,20,20,1.0
cf-10059,0.75,1.0,0.0,20,20,20,0.0
cf-10059,0.7,1.0,0.05,20,20,20,0.05
cf-10063,0.95,0.0,0.0,5,5,5,1.0
cf-10063,0.9,0.0,0.0,5,5,5,1.0
cf-10063,0.85,0.0,0.0,5,5,5,1.0
cf-10063,0.8,0.0,0.0,5,5,5,1.0
cf-10063,0.75,0.0,0.0,5,5,5,1.0
cf-10063,0.7,1.0,0.0,5,5,5,0.0
cf-10067,0.95,1.0,0.0,19,19,19,0.0
cf-10067,0.9,1.0,0.0,19,19,19,0.0
cf-10067,0.85,1.0,0.0,19,19,19,0.0
cf-10067,0.8,1.0,0.0,19,19,19,0.0
cf-10067,0.75,1.0,0.0,19,19,19,0.0
cf-10067,0.7,1.0,0.0,19,19,19,0.0
cf-1007,0.95,1.0,0.0,5,5,5,0.0
cf-1007,0.9,1.0,0.0,5,5,5,0.0
cf-1007,0.85,1.0,0.0,5,5,5,0.0
cf-1007,0.8,1.0,0.0,5,5,5,0.0
cf-1007,0.75,1.0,0.0,5,5,5,0.0
cf-1007,0.7,1.0,0.0,5,5,5,0.0
cf-10071,0.95,0.0,0.0,20,20,20,1.0
cf-10071,0.9,0.0,0.0,20,20,20,1.0
cf-10071,0.85,0.0,0.0,20,20,20,1.0
cf-10071,0.8,0.0,0.0,20,20,20,1.0
cf-10071,0.75,0.0,0.0,20,20,20,1.0
cf-10071,0.7,1.0,0.0,20,20,20,0.0
cf-10073,0.95,1.0,0.0,5,5,5,0.0
cf-10073,0.9,1.0,0.0,5,5,5,0.0
cf-10073,0.85,1.0,0.0,5,5,5,0.0
cf-10073,0.8,1.0,0.0,5,5,5,0.0
cf-10073,0.75,1.0,0.0,5,5,5,0.0
cf-10073,0.7,1.0,0.0,5,5,5,0.0
cf-10074,0.95,0.0,0.0,5,5,5,1.0
cf-10074,0.9,0.0,0.0,5,5,5,1.0
cf-10074,0.85,0.0,0.0,5,5,5,1.0
cf-10074,0.8,0.0,0.0,5,5,5,1.0
cf-10074,0.75,0.0,0.0,5,5,5,1.0
cf-10074,0.7,1.0,0.0,5,5,5,0.0
cf-10075,0.95,0.0,0.0,5,5,5,1.0
cf-10075,0.9,0.0,0.0,5,5,5,1.0
cf-10075,0.85,0.0,0.0,5,5,5,1.0
