fact,answer,fold,samples,samples_scored,l_rep,predicted,label_unseen,behavioral_l
0026edee-9c25-43d1-8d45-afb92620c14f,Romania,1,1,1,0.0,Vienna,False,0.0
010c0387-0d06-46db-bc68-297db5314131,London,0,1,1,1.0,London,False,0.0
01dcb954-0edf-4b40-b65e-7a5cb0520fd5,Macon,1,1,1,0.0,London,False,0.0
02515087-3124-4542-9590-e0f82775c4c0,Tampa,2,1,1,0.0,Boise,False,0.0
028c0620-e20e-4617-88e6-9455b2dd31ef,Edmonton,3,1,1,0.0,London,False,0.0
03027013-68fc-48a5-98a5-1770578cbc39,Munich,0,1,1,0.0,Leipzig,False,0.0
03475710-ca9c-4f55-be25-c9b9fc4675dc,Paris,0,1,1,1.0,Paris,False,0.0
0348ede7-d4e0-4f14-aa85-c855a5f38a48,Budapest,1,1,1,0.0,Warsaw,False,0.0
034f3b06-e138-45ed-8f36-5464adf49ca7,Jamaica,4,1,1,0.0,Canton,False,0.0
039e8ad7-6f06-41e5-ab42-6a2ed3e996dd,Amherst,3,1,1,0.0,Canton,False,0.0
03ae58fd-85ce-4cd7-9ec7-99d66db07bac,Pontiac,4,1,1,0.0,Kingston,False,0.0
043bb2d2-9e9d-4933-a668-34896d017176,Austin,3,1,1,0.0,Macon,False,0.0
044074c0-9c1c-4545-b4f1-c7878a20284e,Paris,4,1,1,1.0,Paris,False,0.0
0442d9cd-f495-49b8-8eb5-93a0349300fb,Chicago,3,1,1,0.0,Canton,False,0.0
04bcd0dd-27ce-46d9-a6c6-5f908281d5ee,London,2,1,1,1.0,London,False,0.0
04e42872-2e62-4930-bdf4-d9e04c20090c,Norwich,0,1,1,0.0,Boston,False,0.0
050e0f0b-a18e-43a5-8bc2-10d87a3851cf,Scotland,2,1,1,0.0,London,False,0.0
0624d6d3-c701-473e-b578-07f47fa122c9,Japan,0,1,1,0.0,Helsinki,False,0.0
06539867-296a-410f-b171-c495f1087aa4,Rome,4,1,1,1.0,Rome,False,0.0
068852b0-3100-44b2-b956-e0edfdac4f02,Durham,0,1,1,0.0,London,False,0.0
06e4ed45-49e1-4fc1-8a54-ee15d4115336,Cleveland,3,1,1,0.0,Boston,False,0.0
07160fbe-6e10-4b90-b9a5-0bcc7d7949e4,Dublin,3,1,1,0.0,Belfast,False,0.0
07ee5886-0a33-4576-a9ea-47154d844cae,Edinburgh,1,1,1,0.0,England,False,0.0
0886eb12-54fd-485b-86b1-5bab567e28a4,France,3,1,1,0.0,Paris,False,0.0
08a92410-9c07-4809-b07a-69ae37f48b2e,London,2,1,1,1.0,London,False,0.0
08bfcfe2-b27b-4d4c-929a-963058596c31,Brooklyn,2,1,1,0.0,London,False,0.0
08df03db-66b6-4b9c-b483-15ccb5d0292d,Caracas,1,1,1,0.0,Macon,False,0.0
09118f2c-c8cf-44dc-a3b1-af0cfa2b6688,London,3,1,1,1.0,London,False,0.0
09b0006b-a464-4545-8715-9b5345b9c323,Canyon,0,1,1,0.0,London,False,0.0
0a0940b3-801e-4c29-8dcd-40601eb0d4b4,London,3,1,1,1.0,London,False,0.0
0a120aba-521a-493b-82eb-9c21277c1f6b,Baltimore,4,1,1,0.0,London,False,0.0
0a48af14-55d1-4a84-9874-97152c191a9d,Oslo,3,1,1,1.0,Oslo,False,0.0
0a616061-da35-4388-81fe-3a790c43c196,Madison,4,1,1,0.0,Boston,False,0.0
0aa90e6f-6cef-4925-97c6-e5c368f3e9ab,Australia,4,1,1,0.0,Melbourne,False,0.0
0ac206d0-6f27-4afd-a4ef-0f8ce1e5accf,Iran,4,1,1,0.0,Syria,False,0.0
0b4b9016-9e50-471f-9fb7-85f54c2abf3b,Paris,0,1,1,1.0,Paris,False,0.0
0b7d95f7-4b21-4eee-9242-0b9b56ff28ca,Newark,4,1,1,0.0,London,False,0.0
0bd1c572-f144-4e51-84e1-09a94bd2cbf0,Richmond,4,1,1,0.0,Canton,False,0.0
0c19ee07-32f7-4a97-a29e-107c3c80ba4f,Finland,3,1,1,0.0,Oslo,False,0.0
0d27a5ae-dbf0-4334-b057-9fe161f78767,Liverpool,4,1,1,0.0,Chicago,False,0.0
0e35a7ea-e94c-4904-826d-efa38a32cf27,Miami,4,1,1,0.0,Madrid,False,0.0
0e60036f-bd72-4dd1-8399-5a619cc29994,Australia,2,1,1,0.0,London,False,0.0
0e61691e-9eb7-47a7-9955-d413c37e97f3,Livingston,0,1,1,0.0,London,False,0.0
0eb93871-d14d-4138-ab9e-8e0b5b263841,Virginia,3,1,1,0.0,London,False,0.0
0ebcd893-1a80-4027-adaa-1dfa33e38586,Detroit,2,1,1,0.0,London,False,0.0
0ed8664e-8044-493d-9b87-241a53a00ec1,Salford,4,1,1,0.0,Dundee,False,0.0
0f94d542-799d-419c-8024-c81ea6d4197e,London,1,1,1,1.0,London,False,0.0
0fadfea4-9728-4ea0-a8d6-cac73f763104,Rome,3,1,1,0.0,Philadelphia,False,0.0
100b96ed-87f2-4013-8679-ac7941007f58,Paris,1,1,1,0.0,Nice,False,0.0
10f462c6-e905-4619-b72b-7dc4583aa520,Gloucester,0,1,1,0.0,Paris,False,0.0
10f78f8d-0d4a-40ad-98f8-f4d569bc45e5,London,3,1,1,1.0,London,False,0.0
1116ab68-a8a3-41a2-86be-f0f9378fb7a9,Italy,0,1,1,0.0,Boston,False,0.0
11c4ff6c-b67b-4806-b34f-6599de87727a,Columbus,3,1,1,0.0,Chicago,False,0.0
120e38f0-ebca-4c45-905c-9da807691d8e,Jamaica,4,1,1,0.0,Canyon,False,0.0
127a0486-8f2e-41e7-b465-e2ec99b593e9,Rome,3,1,1,1.0,Rome,False,0.0
12ce1138-3016-4e57-a0e0-de5fd1c24f84,England,4,1,1,0.0,London,False,0.0
12d2620d-f3e9-4beb-8497-c497f71e0cbb,Vancouver,4,1,1,0.0,Macon,False,0.0
12fc8f7e-8a42-4ff5-90d3-3715c5ee6071,Springfield,2,1,1,0.0,England,False,0.0
12fca401-5130-406c-b369-aa3c3d9bca20,Bristol,1,1,1,0.0,London,False,0.0
1386841b-a240-4c88-b4ba-6cb238364805,Wimbledon,0,1,1,0.0,Portland,False,0.0
13a0e4ea-20a0-454f-98fa-e126fe7f7758,Canada,3,1,1,0.0,Paris,False,0.0
13c83a5c-9c50-478c-b6b9-0cd69bbf7b68,Florence,4,1,1,0.0,Rome,False,0.0
13f71957-b44c-4f89-a9e0-5d8b60bf5006,Casablanca,2,1,1,0.0,Paris,False,0.0
142910a4-a32d-46d1-b235-1d0d4d959255,Colchester,3,1,1,0.0,London,False,0.0
14f53e15-237a-4788-a57b-fa54530b64e0,Virginia,0,1,1,0.0,Scotland,False,0.0
1505c787-ebee-431e-94ca-50667870e2b5,Boston,2,1,1,0.0,Philadelphia,False,0.0
153ce07b-1b43-4094-8300-9aa2703efad2,London,2,1,1,0.0,Charleston,False,0.0
154bf180-cc0a-4e3c-9a10-d4c7bd227eb5,Cyprus,1,1,1,0.0,Birmingham,False,0.0
154e8a75-d06b-439a-b8b4-fe097bced5e2,Oakland,3,1,1,0.0,London,False,0.0
15d0841b-5ea3-4b0c-a2b6-3904d33eb171,Leipzig,1,1,1,0.0,Berlin,False,0.0
15dcdb56-fe8c-451c-b6ee-89fe6865805a,Limerick,0,1,1,0.0,Brooklyn,False,0.0
16fc38d3-19d4-4bd0-9921-40c912baccb9,Nice,0,1,1,0.0,Paris,False,0.0
17279796-5196-4d5e-a75b-52810d1c745a,Melbourne,0,1,1,0.0,London,False,0.0
17c9ef90-327f-4359-9491-c79c85495879,Paris,4,1,1,1.0,Paris,False,0.0
195501b8-ec77-4d34-a32c-2c8aa5959042,Irvine,1,1,1,0.0,England,False,0.0
19d7913c-446f-4cfd-852c-2d9fc1f6c7ba,Cambridge,4,1,1,0.0,Boston,False,0.0
1a1960e6-3db8-4c34-bffb-549365d78499,Baltimore,3,1,1,0.0,London,False,0.0
1b6db1ea-4b13-44d1-8643-37d25455d13b,Yorkshire,1,1,1,0.0,England,False,0.0
1c9b16e6-f376-459d-9a10-402e050c38fd,Nottingham,1,1,1,0.0,Boston,False,0.0
1cb635aa-cd96-4943-9a54-aa5471e25ac1,Manhattan,3,1,1,0.0,Boston,False,0.0
1cccd554-3ca2-49df-b445-61f01ddbcf48,Pennsylvania,2,1,1,0.0,London,False,0.0
1ceacac6-6857-47a2-9a98-1fd0dcc4620d,England,0,1,1,0.0,Chicago,False,0.0
1dabb4cc-d24a-4d72-89b0-a0735b82df91,Springfield,1,1,1,0.0,Chicago,False,0.0
1e4d342e-f09b-46d6-bc8c-389899682e9c,Genoa,2,1,1,0.0,Rome,False,0.0
1edeb73b-ed3d-48ea-b8ad-982936c5cc4e,Chicago,0,1,1,0.0,Berlin,False,0.0
1fb3b83e-f2e2-4b97-9e0d-4108ebf8ef8f,England,3,1,1,0.0,London,False,0.0
207849f1-869c-4fba-89f7-9065b792641e,Montreal,2,1,1,0.0,Paris,False,0.0
20acf7d9-8196-4a5c-b329-0ffa9cd592f9,Florence,1,1,1,0.0,Rome,False,0.0
20b3bf7b-467e-4353-8547-e1ba642bfad2,Liverpool,3,1,1,0.0,London,False,0.0
20c263c3-02af-4414-b341-2f459c6a4d62,Manhattan,2,1,1,0.0,London,False,0.0
213dac7c-5f47-402b-a493-bcce5a7c7d7f,Adelaide,4,1,1,0.0,London,False,0.0
216db5b4-0603-4814-a980-9b9fbaa12eae,Brighton,2,1,1,0.0,Manchester,False,0.0
21a548af-91d8-4ab7-a9f3-a99a01cd0c30,Greece,2,1,1,0.0,England,False,0.0
22ba06b9-b14a-4ea2-b946-45ebf845ce99,Baltimore,0,1,1,0.0,London,False,0.0
23a34589-708c-44c2-8022-abc05181c139,Birmingham,2,1,1,0.0,Maryland,False,0.0
23e43e54-46cb-4bbc-a6be-e1597208758c,Berlin,2,1,1,0.0,London,False,0.0
24486eb0-242d-4ffd-afe1-70779b0f5bda,Dundee,1,1,1,0.0,Salford,False,0.0
24697a20-5ea8-4c67-9000-f8cb681dad0c,Plymouth,4,1,1,0.0,Norwich,False,0.0
24c6cda3-28de-450b-b6b1-a04f351ad258,Marlborough,0,1,1,0.0,England,False,0.0
24ee6d93-3d7b-401a-8429-84db071413ac,Odessa,1,1,1,0.0,Moscow,False,0.0
25cb18eb-7765-4bc6-b9da-c7d177735e1e,Exeter,2,1,1,0.0,London,False,0.0
268c29a3-460a-4b63-bf7a-dd508bc13e05,Dublin,1,1,1,0.0,England,False,0.0
26b44706-b104-4f74-aa62-4a9460b11806,Budapest,3,1,1,1.0,Budapest,False,0.0
271b93f0-83c6-4270-95ad-7349ebaf5037,Michigan,3,1,1,0.0,London,False,0.0
272799fc-3460-4ff1-b525-cccf7a93b6c6,Kingston,4,1,1,0.0,London,False,0.0
273342bb-b7c7-4844-b396-06d38ba7e0f8,Australia,2,1,1,0.0,London,False,0.0
274ddca0-2b8f-45eb-bf65-51fd43ac7027,Budapest,0,1,1,1.0,Budapest,False,0.0
276d0036-8d2d-44c0-a6b6-94def8797665,Naples,3,1,1,0.0,Argentina,False,0.0
276df345-ab78-41b1-a247-22d2262d882b,Camden,1,1,1,0.0,London,False,0.0
27e88344-0f5b-423f-8c18-1e41a4e48ea7,Tokyo,0,1,1,0.0,Iran,False,0.0
282bcecd-4fe9-4092-a33e-67afb69f1337,Antwerp,2,1,1,0.0,Oslo,False,0.0
2885dfd9-c755-4e73-87ee-5afa81e01df0,Belfast,1,1,1,0.0,London,False,0.0
28e73f50-2bc3-4100-8ace-09b7553829d9,Berlin,2,1,1,0.0,Munich,False,0.0
28f2d1b3-9b05-4e87-9ef8-a7ac844c71cf,England,3,1,1,0.0,Birmingham,False,0.0
290784e7-bd86-4738-bbab-d3d12c48205f,Venice,3,1,1,0.0,Bordeaux,False,0.0
295ad54f-b1d3-48ff-a119-eb463f3a3e44,Mumbai,0,1,1,0.0,London,False,0.0
2a982118-4ee8-4eb2-a5a2-03b90715650f,Edinburgh,1,1,1,0.0,Birmingham,False,0.0
2bcce257-1145-4984-9fa9-dcd52377e866,Rotterdam,2,1,1,0.0,London,False,0.0
2bd258ac-872b-4366-98d7-6c97dce5d87b,Toledo,4,1,1,0.0,Detroit,False,0.0
2c10839d-c2d8-4b40-b01f-c6d1592cc9a0,Scotland,1,1,1,0.0,Virginia,False,0.0
2c1b9873-7045-4409-999c-e4b067516556,Madrid,2,1,1,0.0,Granada,False,0.0
2c640b41-e4df-49ff-b386-bc9daaf27536,Helsinki,1,1,1,0.0,Shanghai,False,0.0
2dcbc3cf-43f1-4fb9-8e31-cbc8ccb4b151,Paris,3,1,1,1.0,Paris,False,0.0
2e07f8c1-1653-40df-93aa-6b35657f0ec9,Glasgow,2,1,1,0.0,Edmonton,False,0.0
2edd4160-57ca-48ba-b0e2-f53e2e3c3d7d,Philadelphia,3,1,1,0.0,Boston,False,0.0
2fab979d-15dd-4cf8-896c-1079ebb2e650,Christchurch,2,1,1,0.0,England,False,0.0
2fcce129-6622-4b29-b576-324dc9c03f49,Glasgow,4,1,1,0.0,London,False,0.0
2fd6e5b0-7b30-4d9b-bb3f-73d977b03095,Manhattan,3,1,1,0.0,Benton,False,0.0
30bef721-61b6-480f-b29a-239baf6faa0d,London,0,1,1,1.0,London,False,0.0
30f8d85d-88b6-4e8b-b393-1119f887c294,Oslo,1,1,1,0.0,Budapest,False,0.0
