fact,rho,s_del,s_surv,margin,r_f
745040a0-6ebd-4542-bb73-1aa5b34e3042,0.85,,,,False
ae0f9d49-7d2f-454e-af46-94c704ddd83f,0.85,,,,False
2edd4160-57ca-48ba-b0e2-f53e2e3c3d7d,0.85,,,,False
3394ea7b-0d98-4146-840a-dfa070bc198a,0.85,,,,False
38f82645-a4f7-416d-a932-05addd5eed5d,0.85,,,,False
ad845894-a074-4c46-93db-fa12322a2674,0.85,,,,False
30f8d85d-88b6-4e8b-b393-1119f887c294,0.85,,,,False
c4361534-3edb-4cf8-88bf-950a231a2a84,0.85,,,,False
f2592eaf-d1d2-4f2c-81bb-da14beca78c4,0.85,,,,False
f562f063-1df5-4460-a52c-d6a572ac05ed,0.85,0.8525646328926086,,,False
2bcce257-1145-4984-9fa9-dcd52377e866,0.85,,,,False
22ba06b9-b14a-4ea2-b946-45ebf845ce99,0.85,,,,False
6eddfc8a-ed34-4f08-9544-4b1d4e2c7244,0.85,,,,False
a5bded32-a6ab-43ea-b049-8b3fc52ce1b5,0.85,,,,False
69606dec-c978-483f-ae23-d4c5446b1808,0.85,,,,False
cf9a9552-ffd2-4e5b-8630-8477dc45ee3a,0.85,,,,False
b74c872b-fa92-44a2-a3a1-5bf6f8e7b389,0.85,,,,False
24ee6d93-3d7b-401a-8429-84db071413ac,0.85,,,,False
660d0868-46b1-4e63-8298-3c236f891aac,0.85,,,,False
ca398d26-e94c-464f-bc2a-06b481b9dffc,0.85,,,,False
aa8a9f48-e32b-4142-b829-c32bef3a6f08,0.85,,,,False
25cb18eb-7765-4bc6-b9da-c7d177735e1e,0.85,,,,True
89de32b5-33a6-4736-8720-a145046150e0,0.85,,,,False
819bd842-9d59-4780-89f9-69b690e76f7d,0.85,,,,False
f056d3e2-087e-49a1-849f-a13d668b350a,0.85,,,,False
4d06b314-42d8-401f-a7e4-c1e6c3ad2f28,0.85,,,,False
ae265527-bbf2-4a13-8a57-d50af533ffa5,0.85,,,,False
50d30473-dcf8-4642-9636-421c25957f18,0.85,,,,False
6393c280-5888-4faf-948b-b34d8fabaf81,0.85,,,,False
4ffdd6e5-90dc-4912-8eca-665f7dcfe9e0,0.85,0.8793184757232666,,,True
0b4b9016-9e50-471f-9fb7-85f54c2abf3b,0.85,,,,False
