rho,epsilon,template,topology,facts,selected_facts,target_selected_rate,baseline_correct_rate,evasion_rate,post_attack_correct_rate,attack_gain_rate,attack_regression_rate,correct_given_target_selected,gain_given_target_selected
0.85,0.01,verbatim,single,761,255,0.33508541392904073,0.6254927726675427,0.7240473061760841,0.7240473061760841,0.14191852825229961,0.04336399474375821,0.7058823529411765,0.4235294117647059
0.85,0.01,hyphenated,single,761,254,0.33377135348226017,0.6254927726675427,0.4967148488830486,0.4967148488830486,0.005256241787122208,0.1340341655716163,0.027559055118110236,0.015748031496062992
0.85,0.01,letter-spaced,single,761,254,0.33377135348226017,0.6254927726675427,0.48751642575558474,0.48751642575558474,0.0,0.13797634691195795,0.0,0.0
0.85,0.01,prefix-cue,single,761,254,0.33377135348226017,0.6254927726675427,0.48751642575558474,0.48751642575558474,0.0,0.13797634691195795,0.0,0.0
0.85,0.02,verbatim,single,761,216,0.28383705650459923,0.6254927726675427,0.7240473061760841,0.7240473061760841,0.1314060446780552,0.0328515111695138,0.7175925925925926,0.46296296296296297
0.85,0.02,hyphenated,single,761,216,0.28383705650459923,0.6254927726675427,0.5256241787122208,0.5256241787122208,0.003942181340341655,0.1038107752956636,0.018518518518518517,0.013888888888888888
0.85,0.02,letter-spaced,single,761,216,0.28383705650459923,0.6254927726675427,0.5203679369250985,0.5203679369250985,0.0,0.10512483574244415,0.0,0.0
0.85,0.02,prefix-cue,single,761,216,0.28383705650459923,0.6254927726675427,0.5203679369250985,0.5203679369250985,0.0,0.10512483574244415,0.0,0.0
0.85,0.05,verbatim,single,761,141,0.18528252299605782,0.6254927726675427,0.7082785808147175,0.7082785808147175,0.09986859395532194,0.017082785808147174,0.7021276595744681,0.5390070921985816
0.85,0.05,hyphenated,single,761,141,0.18528252299605782,0.6254927726675427,0.580814717477004,0.580814717477004,0.002628120893561104,0.04730617608409987,0.014184397163120567,0.014184397163120567
0.85,0.05,letter-spaced,single,761,140,0.18396846254927726,0.6254927726675427,0.5781865965834428,0.5781865965834428,0.0,0.04730617608409987,0.0,0.0
0.85,0.05,prefix-cue,single,761,141,0.18528252299605782,0.6254927726675427,0.5781865965834428,0.5781865965834428,0.0,0.04730617608409987,0.0,0.0
