fact,answer,fold,samples,samples_scored,l_rep,predicted,label_unseen,behavioral_l
0004a59e-08f5-4597-a4f5-3f1d2620944e,Antarctica,1,1,1,1.0,Antarctica,False,0.0
00059faa-0cc7-405b-a261-8b93ba71408c,Easter Day,4,1,1,0.0,English,False,1.0
00080d95-ace6-439d-a647-a2e020a47dbd,Apple Inc.,0,1,1,0.0,Microsoft,False,1.0
000a8322-8d91-4c2d-a0ba-1e5d6502983b,London,0,1,1,0.0,Paris,False,0.0
000d9b02-5ebc-4032-bf76-be569261764f,Archbishop,1,1,1,1.0,Archbishop,False,0.0
001442ac-3315-4431-b27f-545babd2cf17,Honda,4,1,1,1.0,Honda,False,1.0
00282dd0-6d4d-445a-835c-87bb62597fda,French,3,1,1,1.0,French,False,1.0
002f6abd-2104-416e-a444-1a923b3a3839,"Lansing, Michigan",1,1,1,0.0,Italian,False,0.0
003071e9-0550-4f6b-a67a-21137c879bf1,architect,3,1,1,0.0,Finnish,False,0.0
0033eac7-ff26-4caa-922c-b004887c9086,Apple Inc.,2,1,1,1.0,Apple Inc.,False,1.0
003bfd7f-89f1-4117-a98a-0733cbd27a8b,carbon,3,1,1,1.0,carbon,False,0.0
00473236-655a-41cb-a70f-c1300c63967b,English,1,1,1,1.0,English,False,0.0
0067ad77-f678-4e6c-89dc-4a707964bdd2,Bengali language,4,1,1,0.0,Swedish language,False,0.0
00694ac7-cffc-4430-87ae-86449c024aa6,Vancouver,0,1,1,0.0,"London, England",False,0.0
006a3453-4897-4192-b389-04a2957f376c,Pakistan,2,1,1,0.0,India,False,0.0
007104d4-8556-4e58-b2cf-456062eb923a,HBO,2,1,1,0.0,NBC,False,0.0
007964cf-fa61-4bf9-bade-c3907878b47e,archbishop,3,1,1,1.0,Archbishop,False,0.0
007b31b6-e94d-42d9-8221-a7de636d74ce,Finland,2,1,1,0.0,Finnish,False,0.0
008c6507-03f9-426b-9d37-716cc863449b,French,4,1,1,1.0,French,False,1.0
008df083-62fd-43ce-a6ac-af96b8cb3a10,Amazon.com,2,1,1,0.0,Apple Inc.,False,1.0
00982ade-e0d5-4806-a3fa-e93800df46e4,Copenhagen,1,1,1,0.0,Berlin,False,0.0
0099e9e7-2305-486c-a19c-130a7b0ccbde,photographer,0,1,1,0.0,English,False,0.0
009b44ff-878e-4bd6-bf2b-bd1396ece39e,Chinese,0,1,1,0.0,French,False,0.0
00b43df7-bc4a-49d1-b599-a9dfc0d5eb6b,psychology,4,1,1,1.0,psychology,False,1.0
