fact,rho,s_del,s_surv,margin,r_f
fdf6687c-6d21-40a0-8f01-241dd59eb4b7,0.85,,,,False
c7f622cd-2fc7-4fd8-a90d-54dc3fada8e9,0.85,,,,True
0d14af5e-a808-478f-b3e7-06ef63c102bf,0.85,0.871369481086731,,,True
2cd733bb-3c9c-4782-bce9-72ed5cfa65cf,0.85,,,,False
1f76fc8d-fa59-42d8-9a1d-3637fc578c1a,0.85,0.9395618438720703,,,False
3f3a2470-9f21-4d26-84e0-aa7b75c859bb,0.85,0.8541451692581177,,,False
19a11ebd-9f98-4985-8090-7ff67364ff9e,0.85,0.8893346786499023,,,False
8fbce334-e643-42b7-9d30-1b8bf4bfcfaa,0.85,,,,True
785b31aa-f3ba-4902-9bda-8ef8bf232fa6,0.85,,,,False
f1fa9f85-9d94-496b-aa92-23452f4d59b2,0.85,0.9163251519203186,,,True
ec7b9899-36c4-43cf-b017-bbbe2b89c8c2,0.85,,,,False
888d4df5-40d9-445c-a0f5-45c31416d387,0.85,,,,False
7bc9245a-dfd6-4a64-bc23-0123ce453236,0.85,0.8546140193939209,,,False
54521b20-3462-4321-9dd9-b33a7d2c26d9,0.85,,,,True
1ff0a6b0-b44e-4aa0-b217-818fa2de2d8f,0.85,,,,False
93b87f66-5fbf-4190-9d52-2ac0ce22ecb7,0.85,,,,False
36ec690a-3450-4a7f-80eb-07577c33cc9f,0.85,0.8627305626869202,,,False
e8d3e779-7693-42c1-a1ca-e45de94e3595,0.85,,,,True
e91ed2b3-8fdc-4eef-8f46-2b4f14914738,0.85,,,,False
cc767900-fdc5-437b-92af-a314b1cdac16,0.85,0.9097115397453308,,,True
84c936e1-cb4c-45f3-9b80-c761b4bdbb6f,0.85,0.9351130723953247,,,True
3a45c971-ef98-463b-aa51-a1614f90c9ec,0.85,0.9198300242424011,,,False
4b1063a6-daaa-4354-ae1c-5316bfd6a879,0.85,0.8830217123031616,,,False
78117ce8-a74d-4e6a-aa52-e3e2219c9875,0.85,,,,True
10beb965-2564-45ac-b577-27c7906133ff,0.85,0.9041246771812439,,,True
8ba0c39c-de76-4a09-b7bd-ffd87ddc9e39,0.85,0.8632289171218872,,,False
e6c2c7be-b040-4e14-94dc-61bf101d89b6,0.85,0.8512543439865112,,,False
c54ff80b-b0fa-4bd4-8f5a-3ce0f3781931,0.85,0.8573204278945923,,,False
82133c5b-a211-491d-b3e6-6e43f2ea3ca8,0.85,,,,True
8bb950c4-2367-4fe2-9a2a-0340386cef84,0.85,0.902008056640625,,,True
cebaeedf-1246-4b32-8e56-2102cc809681,0.85,,,,False
46f718d1-352d-4b17-b1f4-fe46b0b7bfe9,0.85,,,,False
ab555b7c-b281-403d-9ddb-c11309c99f00,0.85,,,,False
ce29d779-18c9-44ac-ae84-d991e89066ff,0.85,0.8512866497039795,,,False
83b4701a-0028-4fa6-91b5-a924d40d883c,0.85,,,,False
c6110988-e7b6-40d6-9653-8c43f7f3e4c2,0.85,,,,False
868dc0ff-587b-4a63-a857-b598c800ea0a,0.85,0.9577209949493408,,,False
fbea0ee3-a3e6-4766-a9d8-a6460a536eb5,0.85,0.869745671749115,,,True
32f1b6e1-6ae0-4868-8401-c3b4f3b6b276,0.85,0.8908387422561646,,,True
e01baa0d-e062-4c8d-b121-a47251ca5228,0.85,0.8965821266174316,,,False
493045ca-9f44-47eb-934a-fe2eeeed77a7,0.85,0.9003596901893616,,,False
641e78c3-0c49-4cff-a484-536d9812d721,0.85,,,,False
bf5904cc-defa-434e-98a5-b7fe9f2d0487,0.85,,,,False
941d972d-fd67-4c08-85b5-4f0b9083d81a,0.85,,,,True
ae53cbee-d9b6-4e19-aa11-cba6be4bfb56,0.85,,,,False
df202fbb-9a52-4f75-9d04-24834884ec3b,0.85,0.9027417302131653,,,False
692c868a-465e-4578-96b7-583aeb420cbb,0.85,0.8617030382156372,,,False
ba3508a7-804c-4c7f-8347-16d52ed86cca,0.85,0.8779968619346619,,,False
5c31c586-ad2c-4612-bf3b-c77ffabf9647,0.85,0.922835111618042,,,False
ae401f55-2fa3-4f5d-a97a-8ada6df232dc,0.85,,,,True
1411716a-c40c-4b3c-a3aa-d83788826fcf,0.85,0.9610602259635925,,,False
58b6b0c8-bb6f-446e-b35a-28be07c94afd,0.85,0.85326087474823,,,True
5690bd63-d7e7-4efc-bcf3-e5f272f22c72,0.85,0.9096291661262512,,,False
8cedf432-f7bd-4207-9254-16ee4b2d4619,0.85,,,,False
b5b9910d-b276-4870-ad45-4de27fc21675,0.85,,,,True
5e65c98f-56ec-4f8d-940b-293ad164b1b1,0.85,0.8600528836250305,,,True
6cd36a17-31ec-4cf1-b9d5-6180ba25e8bb,0.85,,,,True
d746468c-594d-4a3e-8115-4d8ea8d0ae9a,0.85,,,,False
7a6189a5-0cfc-4510-b028-83743e6613ee,0.85,,,,False
04011add-c9a6-48f4-9b83-c98b4521d425,0.85,,,,False
b8381cff-2244-4d24-b6c4-8739e8880049,0.85,0.8665913343429565,,,False
47c79a58-a320-455a-a1a3-2813e0a098d3,0.85,,,,True
739537ec-e04d-4483-9705-027476a0ea11,0.85,0.87538743019104,,,True
5c872e79-acdf-4eb1-af74-76dc1156b4ed,0.85,,,,False
d674fbff-0c3e-4460-ba18-daf17f6f1029,0.85,,,,True
26882349-014b-4101-b4c4-bcafbc74e3b5,0.85,0.8688011169433594,,,False
dcc0fbfe-bc71-47bf-893f-2408ddee21c4,0.85,0.8723878860473633,,,False
42ded509-e4dc-44fc-bb13-d931349aa1e2,0.85,0.9478306770324707,,,True
3ee4e03c-498b-421b-8ce0-c4ba56ef0677,0.85,0.8582205772399902,,,True
14ee554d-dafc-4362-b7aa-6f14e2f6b5df,0.85,,,,False
6da8204b-1964-4b2a-9b29-4d7e668daa29,0.85,0.887044370174408,,,True
5dbed17b-2db8-4d97-9bf8-a7f78f6e290b,0.85,,,,False
6a8327b5-6c3f-4d28-9019-ee96c11757e5,0.85,0.922961413860321,,,False
7e2a9b9d-61a8-4783-9eb3-2605bae8d4b5,0.85,0.8506727814674377,,,False
7d915715-bed2-4f16-8ad3-bd750ea90a0b,0.85,0.8845357298851013,,,True
d97f1062-788b-4a63-806a-81ae01415181,0.85,,,,False
b256f3dd-0613-45e9-8d1d-4c3cf3156e56,0.85,0.8809387683868408,,,False
a8a53b33-f548-4d06-bcef-2a1df4f247c6,0.85,0.9386497139930725,,,True
749aae17-3e0e-4c41-9a51-657674b5543d,0.85,,,,True
70594d31-710a-4f29-a6ae-4b9ccd838196,0.85,0.8636349439620972,,,False
f72a2d98-3528-43b7-a533-70a6d565a1b1,0.85,0.8501571416854858,,,False
ef5611a9-f3cd-4b0b-8e27-0679583b5dec,0.85,0.8500831127166748,,,False
9c31c98d-8e5e-4caa-b8d3-9cea4c19e411,0.85,,,,False
376b6817-9c63-457b-a7e2-2de0cfe187f3,0.85,0.873110830783844,,,True
d8810ab1-5570-461f-96b4-fc9ec26dbfea,0.85,,,,False
b49f910e-b586-41ee-aca0-453440dd27a7,0.85,0.8849343061447144,,,True
a727468b-385d-4d58-a93a-837f338e38db,0.85,0.9424600005149841,,,True
850d071d-a7ef-45db-b724-7c2cb1f58fcb,0.85,0.8609654903411865,,,False
8abb1168-2393-4589-aeb2-fa0a2d7c21cc,0.85,0.9227234125137329,,,False
8e3f6d91-f351-4c58-b924-645de00f4ae7,0.85,,,,False
9904283c-60ee-45d5-8283-f2cdde18e8dc,0.85,,,,True
87ce00f1-64ff-40f9-b466-41b56f61d3e3,0.85,,,,False
96767a38-691e-44c8-b2c4-c386668b3471,0.85,0.8564910888671875,,,False
