target_key,rho,efficacy,collateral,neighbor_count,neighbors_observed,neighbors_full_correct,gap_term
00059faa-0cc7-405b-a261-8b93ba71408c,0.95,0.0,0.0,5,5,5,1.0
00059faa-0cc7-405b-a261-8b93ba71408c,0.9,0.0,0.0,5,5,5,1.0
00059faa-0cc7-405b-a261-8b93ba71408c,0.85,0.0,0.0,5,5,5,1.0
00059faa-0cc7-405b-a261-8b93ba71408c,0.8,1.0,0.0,5,5,5,0.0
00059faa-0cc7-405b-a261-8b93ba71408c,0.75,1.0,0.0,5,5,5,0.0
00059faa-0cc7-405b-a261-8b93ba71408c,0.7,0.0,0.0,5,5,5,1.0
00080d95-ace6-439d-a647-a2e020a47dbd,0.95,0.0,0.0,20,20,20,1.0
00080d95-ace6-439d-a647-a2e020a47dbd,0.9,0.0,0.0,20,20,20,1.0
00080d95-ace6-439d-a647-a2e020a47dbd,0.85,0.0,0.0,20,20,20,1.0
00080d95-ace6-439d-a647-a2e020a47dbd,0.8,0.0,0.0,20,20,20,1.0
00080d95-ace6-439d-a647-a2e020a47dbd,0.75,0.0,0.0,20,20,20,1.0
00080d95-ace6-439d-a647-a2e020a47dbd,0.7,0.0,0.0,20,20,20,1.0
000a8322-8d91-4c2d-a0ba-1e5d6502983b,0.95,0.0,0.0,5,5,5,1.0
000a8322-8d91-4c2d-a0ba-1e5d6502983b,0.9,0.0,0.0,5,5,5,1.0
000a8322-8d91-4c2d-a0ba-1e5d6502983b,0.85,0.0,0.0,5,5,5,1.0
000a8322-8d91-4c2d-a0ba-1e5d6502983b,0.8,1.0,0.0,5,5,5,0.0
000a8322-8d91-4c2d-a0ba-1e5d6502983b,0.75,1.0,0.0,5,5,5,0.0
000a8322-8d91-4c2d-a0ba-1e5d6502983b,0.7,1.0,0.0,5,5,5,0.0
000d9b02-5ebc-4032-bf76-be569261764f,0.95,0.0,0.0,5,5,5,1.0
000d9b02-5ebc-4032-bf76-be569261764f,0.9,0.0,0.0,5,5,5,1.0
000d9b02-5ebc-4032-bf76-be569261764f,0.85,0.0,0.0,5,5,5,1.0
000d9b02-5ebc-4032-bf76-be569261764f,0.8,0.0,0.0,5,5,5,1.0
000d9b02-5ebc-4032-bf76-be569261764f,0.75,1.0,0.0,5,5,5,0.0
