rho,epsilon,template,topology,facts,selected_facts,target_selected_rate,baseline_correct_rate,evasion_rate,post_attack_correct_rate,attack_gain_rate,attack_regression_rate,correct_given_target_selected,gain_given_target_selected
0.85,0.01,verbatim,single,3479,2643,0.7597010635240011,0.5901121011784995,0.7941937338315608,0.7941937338315608,0.2793906294912331,0.07530899683817188,0.820279984865683,0.3677639046538025
0.85,0.01,hyphenated,single,3479,2620,0.7530899683817189,0.5901121011784995,0.1710261569416499,0.1710261569416499,0.0,0.4190859442368497,0.0,0.0
0.85,0.01,letter-spaced,single,3479,2620,0.7530899683817189,0.5901121011784995,0.1710261569416499,0.1710261569416499,0.0,0.4190859442368497,0.0,0.0
0.85,0.01,prefix-cue,single,3479,2620,0.7530899683817189,0.5901121011784995,0.1710261569416499,0.1710261569416499,0.0,0.4190859442368497,0.0,0.0
0.85,0.02,verbatim,single,3479,2426,0.6973268180511641,0.5901121011784995,0.7838459327392929,0.7838459327392929,0.2655935613682093,0.07185972980741592,0.8107996702390766,0.380873866446826
0.85,0.02,hyphenated,single,3479,2401,0.6901408450704225,0.5901121011784995,0.2184535786145444,0.2184535786145444,0.0,0.37165852256395515,0.0,0.0
0.85,0.02,letter-spaced,single,3479,2402,0.6904282839896522,0.5901121011784995,0.2184535786145444,0.2184535786145444,0.0,0.37165852256395515,0.0,0.0
0.85,0.02,prefix-cue,single,3479,2402,0.6904282839896522,0.5901121011784995,0.2184535786145444,0.2184535786145444,0.0,0.37165852256395515,0.0,0.0
0.85,0.05,verbatim,single,3479,1892,0.5438344351825237,0.5901121011784995,0.7571141132509341,0.7571141132509341,0.22592699051451567,0.058924978442081055,0.7912262156448203,0.4154334038054968
0.85,0.05,hyphenated,single,3479,1872,0.5380856567979304,0.5901121011784995,0.3268180511641276,0.3268180511641276,0.0,0.26329405001437195,0.0,0.0
0.85,0.05,letter-spaced,single,3479,1873,0.5383730957171601,0.5901121011784995,0.3268180511641276,0.3268180511641276,0.0,0.26329405001437195,0.0,0.0
0.85,0.05,prefix-cue,single,3479,1871,0.5377982178787007,0.5901121011784995,0.3268180511641276,0.3268180511641276,0.0,0.26329405001437195,0.0,0.0
