fact,rho,s_del,s_surv,margin,r_f
cf-0,0.85,,,,False
cf-3,0.85,0.936676025390625,,,True
cf-7,0.85,,,,False
cf-14,0.85,,,,False
cf-15,0.85,,,,False
cf-17,0.85,,,,False
cf-18,0.85,,,,False
cf-20,0.85,,,,False
cf-22,0.85,,,,True
cf-23,0.85,,,,False
cf-38,0.85,0.9093677997589111,,,False
cf-43,0.85,0.8953180313110352,,,True
cf-50,0.85,,,,False
cf-52,0.85,,,,True
cf-56,0.85,,,,False
cf-67,0.85,,,,False
cf-77,0.85,,,,False
cf-81,0.85,,,,False
cf-82,0.85,0.8846301436424255,,,True
cf-95,0.85,0.8757680654525757,,,False
cf-101,0.85,,,,False
cf-102,0.85,0.9366906881332397,,,False
cf-104,0.85,,,,False
cf-109,0.85,,,,False
cf-119,0.85,,,,True
cf-125,0.85,,,,False
cf-132,0.85,,,,True
cf-137,0.85,,,,False
cf-139,0.85,0.9117820858955383,,,False
cf-144,0.85,,,,False
cf-146,0.85,,,,True
cf-148,0.85,,,,False
cf-150,0.85,,,,False
cf-151,0.85,,,,False
cf-152,0.85,,,,True
cf-154,0.85,0.9166098833084106,,,False
cf-163,0.85,,,,False
cf-174,0.85,,,,False
cf-182,0.85,,,,True
cf-184,0.85,0.8592711687088013,,,False
cf-185,0.85,,,,False
cf-190,0.85,,,,True
cf-192,0.85,,,,False
cf-197,0.85,,,,True
cf-203,0.85,,,,True
cf-207,0.85,,,,True
cf-208,0.85,,,,True
cf-222,0.85,,,,False
cf-225,0.85,,,,False
cf-231,0.85,0.9621247053146362,,,False
cf-235,0.85,,,,True
cf-238,0.85,0.9213858842849731,,,False
cf-253,0.85,,,,False
cf-260,0.85,0.8506581783294678,,,False
cf-262,0.85,,,,False
cf-264,0.85,,,,False
cf-268,0.85,,,,False
cf-276,0.85,0.9003568291664124,,,False
cf-279,0.85,0.8548462390899658,,,False
cf-296,0.85,,,,False
cf-301,0.85,,,,False
cf-303,0.85,,,,False
cf-305,0.85,,,,False
cf-307,0.85,,,,True
cf-308,0.85,,,,False
cf-312,0.85,,,,True
cf-313,0.85,0.8601921796798706,,,True
cf-316,0.85,,,,True
cf-330,0.85,,,,True
cf-333,0.85,0.8766679763793945,,,True
cf-335,0.85,0.926092267036438,,,False
cf-338,0.85,,,,True
cf-341,0.85,0.8707804679870605,,,False
cf-351,0.85,,,,False
cf-354,0.85,,,,False
cf-355,0.85,0.8731503486633301,,,False
cf-357,0.85,,,,False
cf-359,0.85,0.9229658842086792,,,False
cf-361,0.85,0.86435866355896,,,True
cf-365,0.85,0.9231312274932861,,,False
cf-379,0.85,,,,True
cf-381,0.85,,,,True
cf-383,0.85,0.8694698810577393,,,False
cf-385,0.85,,,,False
cf-387,0.85,,,,False
cf-391,0.85,,,,False
cf-397,0.85,,,,True
cf-398,0.85,,,,False
cf-405,0.85,0.8530179262161255,,,False
cf-406,0.85,,,,True
cf-415,0.85,,,,True
cf-419,0.85,,,,False
cf-422,0.85,,,,False
cf-424,0.85,,,,True
cf-425,0.85,,,,False
cf-433,0.85,0.8715461492538452,,,False
cf-442,0.85,,,,False
cf-452,0.85,,,,True
cf-454,0.85,,,,False
cf-457,0.85,,,,False
cf-458,0.85,,,,True
cf-459,0.85,0.8770521879196167,,,True
cf-471,0.85,,,,False
cf-472,0.85,,,,False
cf-475,0.85,,,,True
cf-477,0.85,0.9325423240661621,,,False
cf-491,0.85,0.8722511529922485,,,True
cf-501,0.85,,,,False
cf-507,0.85,,,,False
cf-508,0.85,,,,True
cf-509,0.85,,,,False
cf-513,0.85,0.8948308229446411,,,True
cf-516,0.85,,,,False
cf-517,0.85,,,,True
cf-530,0.85,0.9391489624977112,,,False
cf-536,0.85,,,,True
cf-537,0.85,,,,True
cf-539,0.85,0.8554714918136597,,,False
cf-544,0.85,,,,False
cf-549,0.85,,,,False
cf-555,0.85,0.9511885643005371,,,False
cf-561,0.85,0.874491810798645,,,False
cf-571,0.85,0.9030290842056274,,,True
cf-575,0.85,,,,True
cf-576,0.85,0.9123537540435791,,,False
