target_key,rho,efficacy,collateral,neighbor_count,neighbors_observed,neighbors_full_correct,gap_term
cf-0,0.95,1.0,0.2,5,5,5,0.2
cf-0,0.9,1.0,0.2,5,5,5,0.2
cf-0,0.85,1.0,0.2,5,5,5,0.2
cf-0,0.8,1.0,0.2,5,5,5,0.2
cf-0,0.75,1.0,0.2,5,5,5,0.2
cf-0,0.7,1.0,0.2,5,5,5,0.2
cf-1007,0.95,1.0,0.0,5,5,5,0.0
cf-1007,0.9,1.0,0.0,5,5,5,0.0
cf-1007,0.85,1.0,0.0,5,5,5,0.0
cf-1007,0.8,1.0,0.0,5,5,5,0.0
cf-1007,0.75,1.0,0.0,5,5,5,0.0
cf-1007,0.7,1.0,0.0,5,5,5,0.0
cf-1008,0.95,1.0,0.0,5,5,5,0.0
cf-1008,0.9,1.0,0.0,5,5,5,0.0
cf-1008,0.85,1.0,0.0,5,5,5,0.0
cf-1008,0.8,1.0,0.0,5,5,5,0.0
cf-1008,0.75,1.0,0.0,5,5,5,0.0
cf-1008,0.7,1.0,0.0,5,5,5,0.0
cf-101,0.95,1.0,0.0,5,5,5,0.0
cf-101,0.9,1.0,0.0,5,5,5,0.0
cf-101,0.85,1.0,0.0,5,5,5,0.0
cf-101,0.8,1.0,0.0,5,5,5,0.0
cf-101,0.75,1.0,0.0,5,5,5,0.0
cf-101,0.7,1.0,0.0,5,5,5,0.0
cf-1010,0.95,1.0,0.0,5,5,5,0.0
cf-1010,0.9,1.0,0.0,5,5,5,0.0
cf-1010,0.85,1.0,0.0,5,5,5,0.0
cf-1010,0.8,1.0,0.0,5,5,5,0.0
cf-1010,0.75,1.0,0.0,5,5,5,0.0
cf-1010,0.7,1.0,0.0,5,5,5,0.0
cf-1013,0.95,1.0,0.0,5,5,5,0.0
cf-1013,0.9,1.0,0.0,5,5,5,0.0
cf-1013,0.85,1.0,0.0,5,5,5,0.0
cf-1013,0.8,1.0,0.0,5,5,5,0.0
cf-1013,0.75,1.0,0.0,5,5,5,0.0
cf-1013,0.7,1.0,0.0,5,5,5,0.0
cf-1014,0.95,0.0,0.0,5,5,5,1.0
cf-1014,0.9,0.0,0.0,5,5,5,1.0
cf-1014,0.85,0.0,0.0,5,5,5,1.0
cf-1014,0.8,1.0,0.0,5,5,5,0.0
cf-1014,0.75,1.0,0.0,5,5,5,0.0
cf-1014,0.7,1.0,0.0,5,5,5,0.0
cf-102,0.95,0.0,0.0,15,15,15,1.0
cf-102,0.9,0.0,0.0,15,15,15,1.0
cf-102,0.85,1.0,0.0,15,15,15,0.0
cf-102,0.8,1.0,0.0,15,15,15,0.0
cf-102,0.75,1.0,0.0,15,15,15,0.0
cf-102,0.7,0.0,0.0,15,15,15,1.0
cf-1020,0.95,0.0,0.0,5,5,5,1.0
cf-1020,0.9,0.0,0.0,5,5,5,1.0
cf-1020,0.85,0.0,0.0,5,5,5,1.0
cf-1020,0.8,0.0,0.0,5,5,5,1.0
cf-1020,0.75,0.0,0.0,5,5,5,1.0
cf-1020,0.7,1.0,0.0,5,5,5,0.0
cf-1030,0.95,1.0,0.0,5,5,5,0.0
cf-1030,0.9,1.0,0.0,5,5,5,0.0
cf-1030,0.85,1.0,0.0,5,5,5,0.0
cf-1030,0.8,0.0,0.0,5,5,5,1.0
cf-1030,0.75,0.0,0.0,5,5,5,1.0
cf-1030,0.7,0.0,0.0,5,5,5,1.0
cf-104,0.95,1.0,0.0,5,5,5,0.0
cf-104,0.9,1.0,0.0,5,5,5,0.0
cf-104,0.85,1.0,0.0,5,5,5,0.0
cf-104,0.8,0.0,0.0,5,5,5,1.0
cf-104,0.75,0.0,0.0,5,5,5,1.0
cf-104,0.7,0.0,0.0,5,5,5,1.0
cf-1043,0.95,1.0,0.0,5,5,5,0.0
cf-1043,0.9,1.0,0.0,5,5,5,0.0
cf-1043,0.85,1.0,0.0,5,5,5,0.0
cf-1043,0.8,1.0,0.0,5,5,5,0.0
cf-1043,0.75,1.0,0.0,5,5,5,0.0
cf-1043,0.7,1.0,0.0,5,5,5,0.0
cf-1044,0.95,1.0,0.0,5,5,5,0.0
cf-1044,0.9,0.0,0.0,5,5,5,1.0
cf-1044,0.85,0.0,0.0,5,5,5,1.0
cf-1044,0.8,1.0,0.0,5,5,5,0.0
cf-1044,0.75,1.0,0.0,5,5,5,0.0
cf-1044,0.7,0.0,0.0,5,5,5,1.0
cf-1048,0.95,0.0,0.0,5,5,5,1.0
cf-1048,0.9,0.0,0.0,5,5,5,1.0
cf-1048,0.85,0.0,0.0,5,5,5,1.0
cf-1048,0.8,0.0,0.0,5,5,5,1.0
cf-1048,0.75,1.0,0.0,5,5,5,0.0
cf-1048,0.7,1.0,0.0,5,5,5,0.0
cf-1054,0.95,1.0,0.0,5,5,5,0.0
cf-1054,0.9,1.0,0.0,5,5,5,0.0
cf-1054,0.85,0.0,0.0,5,5,5,1.0
cf-1054,0.8,0.0,0.0,5,5,5,1.0
cf-1054,0.75,0.0,0.0,5,5,5,1.0
cf-1054,0.7,1.0,0.0,5,5,5,0.0
cf-1058,0.95,1.0,0.0,5,5,5,0.0
cf-1058,0.9,1.0,0.0,5,5,5,0.0
cf-1058,0.85,1.0,0.0,5,5,5,0.0
