fact,answer,fold,samples,samples_scored,l_rep,predicted,label_unseen,behavioral_l
0001eb79-0d88-4cb1-809e-1a1564137738,Brighton,1,1,1,0.0,Birmingham,False,0.0
0140663d-a449-4359-9d22-bab80619205f,Manhattan,1,1,1,0.0,London,False,0.0
03090ea5-4620-4e13-a4f8-a51d439c44f1,Toronto,2,1,1,0.0,London,False,0.0
03475710-ca9c-4f55-be25-c9b9fc4675dc,Paris,2,1,1,1.0,Paris,False,0.0
03dbc745-f06a-49ac-b374-acaf25977399,Detroit,4,1,1,0.0,Karachi,False,0.0
0498ddfa-264a-4244-820d-6daadeda3f02,Venice,2,1,1,1.0,Venice,False,0.0
04ae4dcc-e7b8-4a61-af3d-e469f1f1fc2e,Lviv,0,1,1,0.0,Warsaw,False,0.0
04bcd0dd-27ce-46d9-a6c6-5f908281d5ee,London,3,1,1,0.0,Houston,False,0.0
04e42872-2e62-4930-bdf4-d9e04c20090c,Norwich,3,1,1,0.0,Manhattan,False,0.0
04fdadea-6fec-4cca-9dd1-a701cabd3a84,Massachusetts,1,1,1,0.0,Denton,False,0.0
05825e1c-33fe-4508-8ae0-b469faecbd73,Hollywood,2,1,1,0.0,Cincinnati,False,0.0
06448211-0cff-4fa3-ab12-feb854637e8b,Angus,0,1,1,0.0,London,False,0.0
0665154b-3633-48f4-a667-b5d126a0e87f,England,0,1,1,0.0,Germany,False,0.0
066a2070-f5ce-407d-8d48-3bbe39c221ce,Vancouver,0,1,1,0.0,Lexington,False,0.0
068852b0-3100-44b2-b956-e0edfdac4f02,Durham,4,1,1,0.0,London,False,0.0
06a7d5e9-3f58-4692-875a-dc5a7b2e6199,London,1,1,1,0.0,Boston,False,0.0
06e4ed45-49e1-4fc1-8a54-ee15d4115336,Cleveland,2,1,1,0.0,London,False,0.0
076f20d9-dae9-4b76-9a71-5a88d8869abf,London,4,1,1,0.0,Wales,False,0.0
07933e0a-77b9-469e-a29d-fadc4c9c4d28,Illinois,1,1,1,0.0,Hamburg,False,0.0
08a92410-9c07-4809-b07a-69ae37f48b2e,London,1,1,1,0.0,England,False,0.0
08bfcfe2-b27b-4d4c-929a-963058596c31,Brooklyn,2,1,1,0.0,London,False,0.0
09b0006b-a464-4545-8715-9b5345b9c323,Canyon,2,1,1,0.0,London,False,0.0
09d9a865-841a-467d-916b-b6d15716847c,Karachi,2,1,1,0.0,Mumbai,False,0.0
09eb3c52-9373-4c9b-8c0b-effbbba1343c,Bologna,1,1,1,0.0,Paris,False,0.0
0a0940b3-801e-4c29-8dcd-40601eb0d4b4,London,2,1,1,1.0,London,False,0.0
0a6192b7-0c55-4896-ae80-49dbc2be0c52,Beverly,1,1,1,0.0,Cambridge,False,0.0
0b109350-b845-48ed-be9d-1aaad3174608,Scotland,0,1,1,0.0,London,False,0.0
0b4b9016-9e50-471f-9fb7-85f54c2abf3b,Paris,1,1,1,1.0,Paris,False,0.0
0b88468b-7860-4eca-a082-f2a0d0cd727e,Jerusalem,4,1,1,0.0,Montreal,False,0.0
0bb9a853-0403-4c50-ae45-68c30bd59516,Berkeley,2,1,1,0.0,London,False,0.0
0cf4fafa-77c3-4ef8-9dc0-4015bb486e30,Riga,0,1,1,0.0,Moscow,False,0.0
0d36a4f8-3482-4861-a765-7b04c8620773,Leipzig,2,1,1,0.0,London,False,0.0
0e193746-1b7a-4d3a-8e6d-0d32c33a94c8,Camden,3,1,1,0.0,Clifton,False,0.0
0e35a7ea-e94c-4904-826d-efa38a32cf27,Miami,4,1,1,0.0,Madrid,False,0.0
0e60036f-bd72-4dd1-8399-5a619cc29994,Australia,3,1,1,0.0,Chicago,False,0.0
0e61691e-9eb7-47a7-9955-d413c37e97f3,Livingston,4,1,1,0.0,London,False,0.0
0ed8664e-8044-493d-9b87-241a53a00ec1,Salford,2,1,1,0.0,Belgium,False,0.0
0f8560f2-7fc0-44b6-90d9-7c0695685968,Peterborough,4,1,1,0.0,London,False,0.0
0fadfea4-9728-4ea0-a8d6-cac73f763104,Rome,4,1,1,0.0,Cambridge,False,0.0
0fda24fd-0ed7-479b-b639-58cf5390ba0f,Manchester,4,1,1,0.0,Jamaica,False,0.0
101d9873-1fc7-43c0-ac1c-005449ea1690,Ukraine,4,1,1,0.0,Moscow,False,0.0
102d6135-18df-429b-9844-055f912e998e,Monroe,3,1,1,0.0,London,False,0.0
10d1dd0e-ae42-42e5-9e97-a104eef668c9,Yokohama,1,1,1,0.0,London,False,0.0
10f462c6-e905-4619-b72b-7dc4583aa520,Gloucester,3,1,1,0.0,London,False,0.0
10f78f8d-0d4a-40ad-98f8-f4d569bc45e5,London,0,1,1,1.0,London,False,0.0
1116ab68-a8a3-41a2-86be-f0f9378fb7a9,Italy,1,1,1,0.0,London,False,0.0
118df56a-2aa7-45fe-97bd-f969e7de3fc6,Baltimore,0,1,1,0.0,Manhattan,False,0.0
11a5b650-02dd-4938-a1cc-1c8ac254952f,Bavaria,2,1,1,0.0,Munich,False,0.0
11ee4fea-b355-4eeb-974a-a73ad615b527,Brighton,2,1,1,0.0,Paris,False,0.0
120e38f0-ebca-4c45-905c-9da807691d8e,Jamaica,4,1,1,0.0,Melbourne,False,0.0
127a0486-8f2e-41e7-b465-e2ec99b593e9,Rome,4,1,1,1.0,Rome,False,0.0
132677d4-afcf-4a3f-a123-82de571d2e51,Edinburgh,4,1,1,0.0,Cambridge,False,0.0
13806b7d-740e-4314-8cda-5b6895fb924e,Normandy,3,1,1,0.0,Paris,False,0.0
1386841b-a240-4c88-b4ba-6cb238364805,Wimbledon,4,1,1,0.0,Scotland,False,0.0
13a0e4ea-20a0-454f-98fa-e126fe7f7758,Canada,2,1,1,0.0,Paris,False,0.0
13f71957-b44c-4f89-a9e0-5d8b60bf5006,Casablanca,1,1,1,0.0,Moscow,False,0.0
142910a4-a32d-46d1-b235-1d0d4d959255,Colchester,0,1,1,0.0,London,False,0.0
149291b3-98f1-4b3f-ad19-e0cd4382b228,Leipzig,2,1,1,0.0,Berlin,False,0.0
1505c787-ebee-431e-94ca-50667870e2b5,Boston,0,1,1,0.0,Manhattan,False,0.0
15195c44-9de8-40ff-8b89-0824abd82d9d,Derry,4,1,1,0.0,Belfast,False,0.0
158fabd4-fea1-4dd1-8cef-6a45aa1ef2c0,Finland,2,1,1,0.0,Stockholm,False,0.0
