rho,epsilon,template,topology,facts,selected_facts,target_selected_rate,baseline_correct_rate,evasion_rate,post_attack_correct_rate,attack_gain_rate,attack_regression_rate,correct_given_target_selected,gain_given_target_selected
0.85,0.01,verbatim,single,759,725,0.9552042160737813,0.028985507246376812,0.7931488801054019,0.7931488801054019,0.7681159420289855,0.003952569169960474,0.8206896551724138,0.8041379310344827
0.85,0.01,hyphenated,single,759,723,0.9525691699604744,0.028985507246376812,0.00922266139657444,0.00922266139657444,0.0,0.019762845849802372,0.0,0.0
0.85,0.01,letter-spaced,single,759,723,0.9525691699604744,0.028985507246376812,0.00922266139657444,0.00922266139657444,0.0,0.019762845849802372,0.0,0.0
0.85,0.01,prefix-cue,single,759,723,0.9525691699604744,0.028985507246376812,0.00922266139657444,0.00922266139657444,0.0,0.019762845849802372,0.0,0.0
0.85,0.02,verbatim,single,759,685,0.9025032938076416,0.028985507246376812,0.7549407114624506,0.7549407114624506,0.7299077733860343,0.003952569169960474,0.8248175182481752,0.8087591240875912
0.85,0.02,hyphenated,single,759,684,0.9011857707509882,0.028985507246376812,0.010540184453227932,0.010540184453227932,0.0,0.01844532279314888,0.0,0.0
0.85,0.02,letter-spaced,single,759,684,0.9011857707509882,0.028985507246376812,0.010540184453227932,0.010540184453227932,0.0,0.01844532279314888,0.0,0.0
0.85,0.02,prefix-cue,single,759,684,0.9011857707509882,0.028985507246376812,0.010540184453227932,0.010540184453227932,0.0,0.01844532279314888,0.0,0.0
0.85,0.05,verbatim,single,759,482,0.6350461133069829,0.028985507246376812,0.5401844532279315,0.5401844532279315,0.5125164690382081,0.0013175230566534915,0.8195020746887967,0.8070539419087137
0.85,0.05,hyphenated,single,759,481,0.6337285902503293,0.028985507246376812,0.019762845849802372,0.019762845849802372,0.0,0.00922266139657444,0.0,0.0
0.85,0.05,letter-spaced,single,759,481,0.6337285902503293,0.028985507246376812,0.019762845849802372,0.019762845849802372,0.0,0.00922266139657444,0.0,0.0
0.85,0.05,prefix-cue,single,759,481,0.6337285902503293,0.028985507246376812,0.019762845849802372,0.019762845849802372,0.0,0.00922266139657444,0.0,0.0
