target_key,gap,gap_rho,gap_eligible
0001eb79-0d88-4cb1-809e-1a1564137738,0.0,0.95,True
03090ea5-4620-4e13-a4f8-a51d439c44f1,0.0,0.95,True
03475710-ca9c-4f55-be25-c9b9fc4675dc,0.0,0.95,True
03dbc745-f06a-49ac-b374-acaf25977399,0.0,0.95,True
0498ddfa-264a-4244-820d-6daadeda3f02,0.0,0.95,True
04ae4dcc-e7b8-4a61-af3d-e469f1f1fc2e,0.0,0.95,True
04bcd0dd-27ce-46d9-a6c6-5f908281d5ee,0.0,0.95,True
04e42872-2e62-4930-bdf4-d9e04c20090c,0.0,0.95,True
04fdadea-6fec-4cca-9dd1-a701cabd3a84,0.0,0.95,True
05825e1c-33fe-4508-8ae0-b469faecbd73,0.0,0.95,True
06448211-0cff-4fa3-ab12-feb854637e8b,0.0,0.95,True
0665154b-3633-48f4-a667-b5d126a0e87f,0.0,0.95,True
066a2070-f5ce-407d-8d48-3bbe39c221ce,0.0,0.95,True
068852b0-3100-44b2-b956-e0edfdac4f02,0.0,0.95,True
06a7d5e9-3f58-4692-875a-dc5a7b2e6199,0.0,0.95,True
06e4ed45-49e1-4fc1-8a54-ee15d4115336,0.0,0.95,True
076f20d9-dae9-4b76-9a71-5a88d8869abf,0.0,0.95,True
07933e0a-77b9-469e-a29d-fadc4c9c4d28,0.0,0.95,True
08a92410-9c07-4809-b07a-69ae37f48b2e,0.0,0.95,True
08bfcfe2-b27b-4d4c-929a-963058596c31,0.0,0.95,True
09b0006b-a464-4545-8715-9b5345b9c323,0.0,0.95,True
09d9a865-841a-467d-916b-b6d15716847c,0.0,0.95,True
09eb3c52-9373-4c9b-8c0b-effbbba1343c,0.0,0.95,True
0a0940b3-801e-4c29-8dcd-40601eb0d4b4,0.0,0.95,True
0a6192b7-0c55-4896-ae80-49dbc2be0c52,0.0,0.95,True
0b109350-b845-48ed-be9d-1aaad3174608,0.0,0.95,True
0b4b9016-9e50-471f-9fb7-85f54c2abf3b,0.0,0.95,True
0b88468b-7860-4eca-a082-f2a0d0cd727e,0.0,0.95,True
0bb9a853-0403-4c50-ae45-68c30bd59516,0.0,0.95,True
0cf4fafa-77c3-4ef8-9dc0-4015bb486e30,0.0,0.8,True
0d36a4f8-3482-4861-a765-7b04c8620773,0.0,0.95,True
0e193746-1b7a-4d3a-8e6d-0d32c33a94c8,0.0,0.95,True
0e35a7ea-e94c-4904-826d-efa38a32cf27,0.0,0.95,True
0e60036f-bd72-4dd1-8399-5a619cc29994,0.0,0.95,True
0e61691e-9eb7-47a7-9955-d413c37e97f3,0.0,0.95,True
0ed8664e-8044-493d-9b87-241a53a00ec1,0.0,0.95,True
0f8560f2-7fc0-44b6-90d9-7c0695685968,0.0,0.95,True
0fadfea4-9728-4ea0-a8d6-cac73f763104,0.0,0.95,True
0fda24fd-0ed7-479b-b639-58cf5390ba0f,0.0,0.95,True
101d9873-1fc7-43c0-ac1c-005449ea1690,0.0,0.95,True
102d6135-18df-429b-9844-055f912e998e,0.0,0.95,True
10d1dd0e-ae42-42e5-9e97-a104eef668c9,0.0,0.95,True
10f462c6-e905-4619-b72b-7dc4583aa520,0.0,0.95,True
10f78f8d-0d4a-40ad-98f8-f4d569bc45e5,0.0,0.95,True
1116ab68-a8a3-41a2-86be-f0f9378fb7a9,0.0,0.95,True
118df56a-2aa7-45fe-97bd-f969e7de3fc6,0.0,0.95,True
11a5b650-02dd-4938-a1cc-1c8ac254952f,0.0,0.95,True
11ee4fea-b355-4eeb-974a-a73ad615b527,0.0,0.95,True
120e38f0-ebca-4c45-905c-9da807691d8e,0.0,0.95,True
127a0486-8f2e-41e7-b465-e2ec99b593e9,0.0,0.95,True
132677d4-afcf-4a3f-a123-82de571d2e51,0.0,0.95,True
13806b7d-740e-4314-8cda-5b6895fb924e,0.0,0.95,True
1386841b-a240-4c88-b4ba-6cb238364805,0.0,0.95,True
13a0e4ea-20a0-454f-98fa-e126fe7f7758,0.0,0.95,True
13f71957-b44c-4f89-a9e0-5d8b60bf5006,0.0,0.95,True
142910a4-a32d-46d1-b235-1d0d4d959255,0.0,0.95,True
149291b3-98f1-4b3f-ad19-e0cd4382b228,0.0,0.95,True
1505c787-ebee-431e-94ca-50667870e2b5,0.0,0.95,True
15195c44-9de8-40ff-8b89-0824abd82d9d,0.0,0.95,True
158fabd4-fea1-4dd1-8cef-6a45aa1ef2c0,0.0,0.95,True
160c3425-73a9-4d92-89f5-05a19a5195cb,0.0,0.95,True
166a7aba-aea1-4e08-95d7-61e86b3e5936,0.0,0.95,True
16dd6fc0-d5f5-44f5-97af-1a8460a1514e,0.0,0.95,True
16fc38d3-19d4-4bd0-9921-40c912baccb9,0.0,0.95,True
17409de5-b11e-4f66-bc62-dc21552dbd9a,0.0,0.95,True
17427a56-4a78-4234-9f5c-7fc4dc2e250d,0.0,0.95,True
17c9ef90-327f-4359-9491-c79c85495879,0.0,0.95,True
17e2c09f-9d2d-4376-af43-c08443910702,0.0,0.8,True
19138ef1-d565-41ea-b990-a5fc537c09fd,0.0,0.95,True
19d7913c-446f-4cfd-852c-2d9fc1f6c7ba,0.0,0.95,True
1a108ac5-a715-4b60-9c56-bdda6197fd67,0.0,0.95,True
1a14dda0-92db-4ba1-9462-76de13a42c68,0.0,0.95,True
1a6c06bc-7752-4ea6-be3a-748f0d697423,0.0,0.95,True
1a6d8425-4b7c-4d36-8ebd-9e8ee03e678d,0.0,0.95,True
1a82ca43-99d2-4083-ac69-952bb2dcc24b,0.0,0.95,True
1aa56586-e8db-475c-a362-3fd1b4e2cb74,0.0,0.95,True
