fact,answer,fold,samples,samples_scored,l_rep,predicted,label_unseen,behavioral_l
1001025,Mark Osborne,1,1,1,0.0,novella,False,0.0
1003583,Leda,2,1,1,0.0,Leto,False,0.0
1022802,Colorado,4,1,1,0.0,Holy Roman Empire,False,0.0
102644,Howard Estabrook,3,1,1,0.0,David Koepp,False,0.0
1032898,Pago Pago,1,1,1,0.0,Honolulu,False,0.0
1033176,Saipan,0,1,1,0.0,Darwin,False,0.0
104978,Brian Grazer,4,1,1,0.0,Debra Hill,False,0.0
1050467,Moira Walley-Beckett,1,1,1,0.0,George Langelaan,False,0.0
1057843,Michael Crichton,3,1,1,0.0,Ian Watson,False,0.0
1085503,Eliza Poe,1,1,1,0.0,Leda,False,0.0
1087089,soap opera,0,1,1,0.0,alternative rock,False,0.0
110614,Rocky Johnson,4,1,1,0.0,Joe Jackson,False,0.0
1126307,Debra Hill,1,1,1,1.0,Debra Hill,False,0.0
1126310,Debra Hill,2,1,1,1.0,Debra Hill,False,0.0
1126311,Debra Hill,3,1,1,1.0,Debra Hill,False,0.0
1140403,Tokyo,2,1,1,0.0,Edo,False,0.0
1158077,Cotija de la Paz,4,1,1,0.0,Brookline,False,0.0
1163745,"Thomas D'Alesandro, Jr.",3,1,1,0.0,Albert Arnold Gore,False,0.0
1164239,"Sir Thomas Chapman, 7th Baronet",3,1,1,0.0,Buster Keaton,False,0.0
1180115,John Lasseter,1,1,1,1.0,John Lasseter,False,0.0
1180116,John Lasseter,0,1,1,1.0,John Lasseter,False,0.0
1180121,Randy Newman,4,1,1,0.0,John Lasseter,False,0.0
1188844,Lower Saxony,2,1,1,0.0,Central Bohemian Region,False,1.0
119440,John Shiban,4,1,1,1.0,John Shiban,False,0.0
119443,John Shiban,3,1,1,1.0,John Shiban,False,0.0
1194908,Tim Herlihy,1,1,1,0.0,Wes Craven,False,0.0
1201824,San Diego,4,1,1,0.0,Darke County,False,0.0
1202713,Florence,0,1,1,1.0,Florence,False,1.0
1202714,Florence,4,1,1,1.0,Florence,False,1.0
1211753,Saxony-Anhalt,3,1,1,0.0,Lower Saxony,False,0.0
1222235,Sean Penn,1,1,1,0.0,Bob Dylan,False,0.0
1223423,Holy Roman Empire,2,1,1,1.0,Holy Roman Empire,False,1.0
1223424,Holy Roman Empire,3,1,1,1.0,Holy Roman Empire,False,1.0
1223425,Holy Roman Empire,0,1,1,1.0,Holy Roman Empire,False,1.0
1240369,Remo D'Souza,3,1,1,0.0,Jack Bender,False,0.0
1249019,Wesley Strick,2,1,1,0.0,David Hare,False,0.0
1249920,Louis Sachar,0,1,1,0.0,Jack the Ripper,False,0.0
1251752,Thornton Wilder,3,1,1,0.0,Stephen Sondheim,False,0.0
1281223,Latvia,3,1,1,0.0,Central Bohemian Region,False,0.0
1283737,United States of America,2,1,1,0.0,Edgar Wright,False,0.0
128718,Central Bohemian Region,0,1,1,1.0,Central Bohemian Region,False,1.0
128719,Central Bohemian Region,3,1,1,1.0,Central Bohemian Region,False,1.0
128720,Central Bohemian Region,4,1,1,1.0,Central Bohemian Region,False,1.0
1289559,Kingdom of Hungary,4,1,1,0.0,Holy Roman Empire,False,1.0
1297664,Kota Kinabalu,2,1,1,0.0,Victoria,False,0.0
13046,Maseru,2,1,1,0.0,Akure,False,0.0
1305831,Winchester,2,1,1,1.0,London,False,0.0
1307801,role-playing video game,3,1,1,0.0,Hiroki Kikuta,False,0.0
1307804,Hiromichi Tanaka,4,1,1,0.0,Hiroki Kikuta,False,0.0
1307811,Hiroki Kikuta,0,1,1,0.0,Hiromichi Tanaka,False,0.0
1309417,California,1,1,1,0.0,South Carolina,False,0.0
1318613,Carl Gottlieb,1,1,1,0.0,John Shiban,False,0.0
1318614,Carl Gottlieb,1,1,1,0.0,John Shiban,False,0.0
1336640,Josh Singer,3,1,1,0.0,Duane Adler,False,0.0
1346306,Shirley Jackson,1,1,1,0.0,Michael Lewis,False,0.0
1358514,Dr. Dre,4,1,1,0.0,Channing Tatum,False,0.0
1362626,Typhon,4,1,1,0.0,Osiris,False,0.0
1363778,Berlin,3,1,1,0.0,The Hague,False,0.0
1366262,Peshawar,3,1,1,0.0,Shimla,False,0.0
1394666,Spain,3,1,1,0.0,Aristotle,False,0.0
