fact,answer,fold,samples,samples_scored,l_rep,predicted,label_unseen,behavioral_l
1003582,Zeus,1,1,1,0.0,Leda,False,0.0
1003583,Leda,0,1,1,0.0,Zeus,False,0.0
1003808,Hanover,0,1,1,0.0,Luoyang,False,1.0
1014859,Oklahoma City,2,1,1,0.0,Topeka,False,0.0
1016663,Styx,3,1,1,0.0,Themis,False,0.0
1022353,Montpelier,1,1,1,0.0,Hamilton,False,0.0
1022802,Colorado,2,1,1,0.0,Suffolk County,False,0.0
1030164,Turin,2,1,1,0.0,Province of Como,False,0.0
1032898,Pago Pago,3,1,1,0.0,Apia,False,0.0
103528,Wales,0,1,1,0.0,London,False,1.0
104978,Brian Grazer,3,1,1,0.0,Marta Kauffman,False,0.0
1054621,Mildred J. Hill,3,1,1,0.0,Robert Lopez,False,0.0
1054622,Mildred J. Hill,3,1,1,0.0,Robert Lopez,False,0.0
1056699,Priam,3,1,1,0.0,Zeus,False,0.0
1056700,Hecuba,1,1,1,0.0,Priam,False,0.0
1057843,Michael Crichton,3,1,1,0.0,Daphne du Maurier,False,0.0
1084482,Lutheranism,4,1,1,0.0,Catholic Church,False,0.0
1085496,journalist,0,1,1,0.0,composer,False,0.0
1085503,Eliza Poe,2,1,1,0.0,journalist,False,0.0
10956,Praia,2,1,1,0.0,Havana,False,0.0
110614,Rocky Johnson,2,1,1,0.0,Batman,False,0.0
1117259,Nick Hornby,3,1,1,0.0,John Lasseter,False,0.0
1118624,East Berlin,4,1,1,0.0,Berlin,False,0.0
1140403,Tokyo,0,1,1,1.0,Tokyo,False,0.0
1146607,Basse-Terre,3,1,1,0.0,Kingston,False,0.0
1165631,Mamoudzou,1,1,1,0.0,Victoria,False,0.0
1180105,Ralph Guggenheim,0,1,1,0.0,John Lasseter,False,0.0
1180115,John Lasseter,2,1,1,1.0,John Lasseter,False,0.0
1180116,John Lasseter,2,1,1,1.0,John Lasseter,False,0.0
1180117,John Lasseter,4,1,1,1.0,John Lasseter,False,0.0
1180118,John Lasseter,4,1,1,1.0,John Lasseter,False,0.0
1180121,Randy Newman,1,1,1,0.0,John Lasseter,False,0.0
1192195,Rome,4,1,1,0.0,Florence,False,1.0
1194908,Tim Herlihy,0,1,1,0.0,John Lasseter,False,0.0
1196975,Matsudaira Hirotada,0,1,1,0.0,Taejong of Joseon,False,0.0
1202712,Florence,0,1,1,1.0,Florence,False,1.0
1202713,Florence,3,1,1,1.0,Florence,False,1.0
1202714,Florence,2,1,1,1.0,Florence,False,1.0
1203961,Odin,0,1,1,0.0,Zeus,False,0.0
1206290,Euclid,3,1,1,0.0,Stephen King,False,0.0
1207361,Montgomery,0,1,1,0.0,Lincoln,False,0.0
1213220,Dublin,0,1,1,1.0,Dublin,False,1.0
1222235,Sean Penn,3,1,1,0.0,Eileen Ryan,False,0.0
1223420,Holy Roman Empire,2,1,1,1.0,Holy Roman Empire,False,1.0
1223421,Holy Roman Empire,3,1,1,1.0,Holy Roman Empire,False,1.0
1223422,Holy Roman Empire,0,1,1,1.0,Holy Roman Empire,False,1.0
1223423,Holy Roman Empire,3,1,1,1.0,Holy Roman Empire,False,1.0
1223424,Holy Roman Empire,4,1,1,1.0,Holy Roman Empire,False,1.0
1223425,Holy Roman Empire,1,1,1,1.0,Holy Roman Empire,False,1.0
1225029,London,2,1,1,1.0,London,False,0.0
122728,Redwood City,4,1,1,0.0,Santa Fe,False,0.0
1249019,Wesley Strick,4,1,1,1.0,Wesley Strick,False,0.0
1249020,Wesley Strick,2,1,1,1.0,Wesley Strick,False,0.0
1249362,Stockholm County,0,1,1,1.0,Stockholm County,False,0.0
1249363,Stockholm County,0,1,1,1.0,Stockholm County,False,0.0
1249364,Stockholm County,3,1,1,1.0,Stockholm County,False,0.0
1249365,Stockholm County,1,1,1,1.0,Stockholm County,False,0.0
1249920,Louis Sachar,4,1,1,0.0,Stephen Sondheim,False,0.0
1251752,Thornton Wilder,4,1,1,0.0,Stephen Sondheim,False,0.0
1259497,Quebec City,3,1,1,0.0,Edmonton,False,1.0
1272890,Aeson,1,1,1,0.0,Zeus,False,0.0
1283737,United States of America,1,1,1,0.0,Netherlands,False,0.0
128717,Central Bohemian Region,0,1,1,1.0,Central Bohemian Region,False,1.0
128718,Central Bohemian Region,0,1,1,1.0,Central Bohemian Region,False,1.0
128719,Central Bohemian Region,4,1,1,1.0,Central Bohemian Region,False,1.0
128720,Central Bohemian Region,1,1,1,1.0,Central Bohemian Region,False,1.0
128722,Central Bohemian Region,4,1,1,1.0,Central Bohemian Region,False,1.0
1288919,Madrid,4,1,1,1.0,Madrid,False,0.0
1289558,Kingdom of Hungary,3,1,1,1.0,Kingdom of Hungary,False,1.0
1289559,Kingdom of Hungary,4,1,1,0.0,Holy Roman Empire,False,1.0
1292419,Theia,4,1,1,0.0,Themis,False,0.0
1297664,Kota Kinabalu,1,1,1,0.0,Santander,False,0.0
13046,Maseru,3,1,1,0.0,Bloemfontein,False,0.0
1305830,Winchester,0,1,1,1.0,Winchester,False,1.0
1305831,Winchester,4,1,1,1.0,Winchester,False,1.0
1305832,Winchester,2,1,1,1.0,Winchester,False,1.0
1305833,Winchester,1,1,1,1.0,Winchester,False,1.0
1307804,Hiromichi Tanaka,1,1,1,0.0,Hiroki Kikuta,False,0.0
1307811,Hiroki Kikuta,0,1,1,0.0,Hiromichi Tanaka,False,0.0
1309417,California,4,1,1,0.0,Sacramento,False,0.0
1319191,Timur Bekmambetov,2,1,1,0.0,Andrew Bergman,False,0.0
1336640,Josh Singer,1,1,1,0.0,Stanley Kubrick,False,0.0
1340076,William Shakespeare,4,1,1,0.0,Richard Rodgers,False,0.0
1346306,Shirley Jackson,3,1,1,0.0,Michael Lewis,False,0.0
1348054,Netherlands,3,1,1,0.0,Canada,False,0.0
135186,Yasunori Mitsuda,4,1,1,0.0,Vangelis,False,0.0
1357592,Cockburn Town,3,1,1,0.0,Port of Spain,False,0.0
1362626,Typhon,0,1,1,0.0,Zeus,False,0.0
1363778,Berlin,0,1,1,1.0,Berlin,False,0.0
1364500,Winston Churchill,3,1,1,0.0,"John Spencer-Churchill, 10th Duke of Marlborough",False,0.0
1365620,Anglicanism,3,1,1,0.0,Christianity,False,0.0
1366262,Peshawar,4,1,1,0.0,Kabul,False,0.0
1388910,Minsk,2,1,1,0.0,Bujumbura,False,0.0
1390922,Zeus,2,1,1,0.0,Themis,False,0.0
1394968,Robert Louis Stevenson,0,1,1,0.0,Jerry Bruckheimer,False,0.0
1397707,Canada,1,1,1,0.0,Netherlands,False,1.0
13998,Monrovia,1,1,1,0.0,Baton Rouge,False,0.0
1401026,Amos Bronson Alcott,0,1,1,0.0,John Marshall Clemens,False,0.0
1401999,Indra,4,1,1,0.0,Zeus,False,0.0
1402880,Trent Reznor,0,1,1,0.0,Marta Kauffman,False,0.0
1407469,Nathan Barr,4,1,1,0.0,Christophe Beck,False,0.0
1408084,Robert Kardashian,0,1,1,0.0,Katherine Jackson,False,0.0
1409534,Stanley Kubrick,4,1,1,1.0,Stanley Kubrick,False,0.0
1409535,Stanley Kubrick,3,1,1,1.0,Stanley Kubrick,False,0.0
1409536,Stanley Kubrick,3,1,1,1.0,Stanley Kubrick,False,0.0
1416437,Federated Malay States,1,1,1,1.0,Federated Malay States,False,0.0
1416438,Federated Malay States,3,1,1,1.0,Federated Malay States,False,0.0
1416439,Federated Malay States,1,1,1,1.0,Federated Malay States,False,0.0
1416440,Federated Malay States,0,1,1,1.0,Federated Malay States,False,0.0
1416925,red,4,1,1,1.0,red,False,0.0
1425545,sky blue,2,1,1,0.0,red,False,0.0
1425603,Alfred the Great,1,1,1,0.0,Charles I of England,False,0.0
1430723,red,1,1,1,1.0,red,False,0.0
1436355,Abu Dhabi,3,1,1,0.0,Tughlaq dynasty,False,1.0
1438772,Paul Haggis,0,1,1,0.0,Joel Schumacher,False,0.0
1445424,alternative rock,4,1,1,0.0,rock music,False,0.0
1446356,Tokyo,1,1,1,1.0,Tokyo,False,0.0
1447370,Craig Safan,1,1,1,0.0,Stanley Kubrick,False,0.0
1449028,Reykjavík,0,1,1,0.0,Stockholm County,False,0.0
1454544,Christopher Nolan,1,1,1,0.0,Stanley Kubrick,False,0.0
1455040,art rock,2,1,1,0.0,alternative rock,False,0.0
1459024,American football,2,1,1,0.0,basketball,False,0.0
1460182,Bill Condon,1,1,1,0.0,Stanley Kubrick,False,0.0
1460880,Kingdom of England,1,1,1,0.0,London,False,0.0
1464242,Toronto,0,1,1,0.0,Quebec City,False,0.0
1466594,Downpatrick,1,1,1,0.0,Dublin,False,0.0
146692,Hume Cronyn,4,1,1,0.0,Jonathan Larson,False,0.0
1467376,screenwriter,3,1,1,1.0,actor,False,0.0
1468148,Arnold Kopelson,0,1,1,0.0,David Fincher,False,0.0
1468151,David Fincher,2,1,1,0.0,Arnold Kopelson,False,0.0
1468996,Tallinn,3,1,1,0.0,Central Bohemian Region,False,0.0
1473125,Loki,2,1,1,0.0,Zeus,False,0.0
1482020,Jon Favreau,0,1,1,0.0,Steven Spielberg,False,0.0
1485443,David Koepp,4,1,1,0.0,David Heyman,False,0.0
1493515,Dhanush,2,1,1,0.0,Barry Hines,False,0.0
1498107,Catholic Church,2,1,1,0.0,Unitarianism,False,0.0
1507294,red,3,1,1,1.0,red,False,0.0
1509169,Winnipeg,3,1,1,0.0,Berlin,False,0.0
1510040,red,0,1,1,1.0,red,False,0.0
151132,Earl Woods,2,1,1,0.0,Stephen Sondheim,False,0.0
1511830,Edmonton,4,1,1,0.0,Quebec City,False,0.0
1515801,Halifax,2,1,1,0.0,Fredericton,False,0.0
152398,Alfred Hitchcock,4,1,1,0.0,Daphne du Maurier,False,0.0
152403,Daphne du Maurier,1,1,1,0.0,Alfred Hitchcock,False,0.0
152404,Daphne du Maurier,1,1,1,0.0,Alfred Hitchcock,False,0.0
1527903,Zhang Yimou,3,1,1,0.0,Nanjing,False,0.0
1537651,Fredericton,4,1,1,0.0,Queensland,False,0.0
1541610,actor,1,1,1,1.0,actor,False,0.0
1547297,Albert Arnold Gore,1,1,1,0.0,Pauline LaFon Gore,False,1.0
1547299,Pauline LaFon Gore,3,1,1,0.0,Albert Arnold Gore,False,0.0
1556437,John Norman,2,1,1,0.0,Stephen King,False,0.0
1562677,Gustavo Santaolalla,3,1,1,0.0,Joel Schumacher,False,0.0
1570040,Phil Spector,1,1,1,0.0,Robert Lopez,False,0.0
1573571,Oslo,4,1,1,0.0,Stockholm County,False,0.0
157382,John Gatins,2,1,1,0.0,American football,False,0.0
1579959,Karachi,4,1,1,0.0,Islamabad,False,0.0
1580390,Yellowknife,1,1,1,0.0,Iqaluit,False,0.0
15805,Tripoli,3,1,1,0.0,Rabat,False,0.0
1581906,Whitehorse,4,1,1,0.0,Salt Lake City,False,0.0
1585747,Themis,1,1,1,0.0,Isis,False,0.0
1587871,Dustin Lance Black,0,1,1,0.0,John Lasseter,False,0.0
1592930,Iqaluit,3,1,1,0.0,Yellowknife,False,0.0
1593358,tennis,3,1,1,0.0,actor,False,0.0
1596743,John Lennon,3,1,1,1.0,John Lennon,False,0.0
1596744,John Lennon,0,1,1,1.0,John Lennon,False,0.0
1608927,Ron Nyswaner,0,1,1,0.0,Christopher Nolan,False,0.0
1610118,Daphne du Maurier,3,1,1,1.0,Daphne du Maurier,False,0.0
1610120,Daphne du Maurier,4,1,1,1.0,Daphne du Maurier,False,0.0
1611420,association football,2,1,1,1.0,association football,False,0.0
162371,Kyiv,3,1,1,0.0,Winchester,False,0.0
1630172,Johnny Depp,0,1,1,1.0,Johnny Depp,False,0.0
1630173,Johnny Depp,0,1,1,1.0,Johnny Depp,False,0.0
1630174,Johnny Depp,4,1,1,1.0,Johnny Depp,False,0.0
1633964,George H. W. Bush,1,1,1,0.0,Barbara Bush,False,0.0
1633965,Barbara Bush,0,1,1,0.0,George H. W. Bush,False,0.0
1638818,Robert Zemeckis,4,1,1,0.0,Eric Ambler,False,0.0
1641120,George Frideric Handel,4,1,1,0.0,Richard Rodgers,False,0.0
1642787,Vangelis,1,1,1,0.0,Stephen Sondheim,False,0.0
1646487,red,2,1,1,1.0,red,False,0.0
1648052,George Orwell,0,1,1,0.0,Michael Tolkin,False,0.0
1657474,Walter Gretzky,3,1,1,0.0,Batman,False,0.0
1659966,historical drama,1,1,1,0.0,Rome,False,0.0
1660531,London,1,1,1,1.0,London,False,0.0
1665931,Riga,1,1,1,0.0,Sofia,False,0.0
1666876,South Korea,1,1,1,0.0,Netherlands,False,0.0
1668450,Jason Reitman,4,1,1,0.0,David Giler,False,0.0
1668604,Bruce Lee,0,1,1,0.0,Batman,False,0.0
1672533,Kyiv,0,1,1,0.0,Moscow,False,0.0
1672868,Oranjestad,3,1,1,0.0,Willemstad,False,0.0
1673256,Catholic Church,0,1,1,0.0,Lutheranism,False,0.0
1678688,Prague,2,1,1,0.0,Central Bohemian Region,False,0.0
1683089,Reid Hoffman,1,1,1,0.0,Stephen King,False,0.0
1683267,Brandon Sanderson,0,1,1,0.0,Richard Rodgers,False,0.0
1685298,Bratislava,1,1,1,0.0,Central Bohemian Region,False,0.0
1686002,Nova Scotia,3,1,1,0.0,Halifax,False,0.0
1688690,Quebec,3,1,1,0.0,Tughlaq dynasty,False,1.0
1688733,Victoria,3,1,1,0.0,Kota Kinabalu,False,0.0
1691938,Ljubljana,2,1,1,0.0,Belgrade,False,0.0
1695062,Jimmy Page,0,1,1,0.0,Marta Kauffman,False,0.0
1695842,Jacob,4,1,1,0.0,Amram,False,0.0
1705343,Jerry Bruckheimer,0,1,1,1.0,Jerry Bruckheimer,False,0.0
1705344,Jerry Bruckheimer,2,1,1,1.0,Jerry Bruckheimer,False,0.0
1705692,Malcolm III of Scotland,3,1,1,0.0,James V of Scotland,False,0.0
1705816,Max Steiner,2,1,1,0.0,Mildred J. Hill,False,0.0
1706404,composer,3,1,1,0.0,actor,False,0.0
1706834,Chișinău,1,1,1,0.0,Bucharest,False,0.0
1709180,Stuart Hazeldine,1,1,1,0.0,Michael Tolkin,False,0.0
1709278,Ninlil,0,1,1,0.0,Ningal,False,0.0
1710478,Lawrence Turman,0,1,1,0.0,Charles Webb,False,0.0
1710487,Charles Webb,2,1,1,0.0,Lawrence Turman,False,0.0
1712488,Bucharest,4,1,1,0.0,Catherine II of Russia,False,0.0
1717233,Sofia,3,1,1,1.0,Sofia,False,0.0
1719140,Sajid Nadiadwala,0,1,1,0.0,Rob Zombie,False,0.0
1719327,Chuck Russell,4,1,1,0.0,Richard Donner,False,0.0
