fact,rho,s_del,s_surv,margin,r_f
1087089,0.85,,,,True
6297092,0.85,0.9139694571495056,,,False
5776395,0.85,0.9284363985061646,,,False
2777708,0.85,,,,False
3544136,0.85,,,,False
778852,0.85,0.8956717848777771,,,True
2017351,0.85,,,,False
5932260,0.85,0.9568802118301392,,,False
1307804,0.85,0.856538712978363,,,True
2385440,0.85,,,,False
417829,0.85,0.8973226547241211,,,False
246233,0.85,0.9305547475814819,,,False
6266561,0.85,0.9483168125152588,,,True
1722391,0.85,0.9242426753044128,,,True
2797324,0.85,0.8528681993484497,,,True
861082,0.85,0.9380501508712769,,,True
1695062,0.85,,,,False
1695842,0.85,0.8619625568389893,,,True
355719,0.85,0.8860719203948975,,,True
5347843,0.85,0.941925048828125,,,True
104978,0.85,0.9067412614822388,,,False
5547087,0.85,0.9561418890953064,,,True
1550690,0.85,,,,False
1223423,0.85,0.9334336519241333,,,False
707902,0.85,0.8618098497390747,,,False
1826568,0.85,0.909493088722229,,,False
6519236,0.85,0.8696925640106201,,,True
1394666,0.85,,,,True
1307801,0.85,,,,False
5097595,0.85,0.8757762908935547,,,False
6083018,0.85,0.9123355150222778,,,True
5316162,0.85,0.8742673397064209,,,False
469339,0.85,0.9187637567520142,,,False
1688733,0.85,0.9415722489356995,,,True
734608,0.85,,,,True
1505006,0.85,,,,True
1305831,0.85,0.8540835976600647,,,False
1289559,0.85,0.928768515586853,,,False
1812640,0.85,0.9349392652511597,,,True
1283737,0.85,0.8622755408287048,,,False
1346306,0.85,0.8869555592536926,,,True
4146112,0.85,0.8852282762527466,,,False
2725932,0.85,0.9133455753326416,,,False
6374500,0.85,,,,False
5179078,0.85,,,,False
1717233,0.85,0.9359779953956604,,,True
2350775,0.85,0.9134136438369751,,,True
3144557,0.85,,,,True
3558671,0.85,,,,False
2965573,0.85,0.8665534257888794,,,False
1927933,0.85,,,,True
406821,0.85,0.8684076070785522,,,False
6310368,0.85,,,,False
5934450,0.85,,,,False
2569888,0.85,0.9452565312385559,,,False
1789286,0.85,,,,True
2155469,0.85,0.9011572003364563,,,True
2438406,0.85,0.9424798488616943,,,True
1919215,0.85,0.8951470851898193,,,True
715797,0.85,0.9135492444038391,,,False
2763878,0.85,0.9459561109542847,,,True
3432136,0.85,,,,False
975583,0.85,0.869939386844635,,,False
2821000,0.85,0.9330054521560669,,,True
6293446,0.85,0.8819625377655029,,,False
6458710,0.85,,,,True
284073,0.85,0.8947228193283081,,,False
6305992,0.85,0.9207097291946411,,,True
290656,0.85,0.8907970786094666,,,True
6355626,0.85,0.93425053358078,,,True
6493078,0.85,0.8783178329467773,,,False
4990166,0.85,,,,True
6270851,0.85,0.934344470500946,,,True
1336640,0.85,,,,False
1719999,0.85,0.91652512550354,,,False
1401026,0.85,0.8756712675094604,,,True
2712847,0.85,0.9415934085845947,,,True
5962848,0.85,,,,True
6499110,0.85,0.9436309337615967,,,False
5788391,0.85,0.9088739156723022,,,True
1466594,0.85,0.8722890615463257,,,False
4607987,0.85,0.8557748794555664,,,False
1436355,0.85,,,,False
2634781,0.85,0.9350641965866089,,,False
2604063,0.85,0.9378868341445923,,,False
5467382,0.85,0.8979904651641846,,,False
3148564,0.85,0.860977053642273,,,True
1425603,0.85,0.8809912800788879,,,True
2091182,0.85,0.9055750370025635,,,False
1610118,0.85,,,,False
5655121,0.85,0.8783926963806152,,,True
3234177,0.85,,,,False
66267,0.85,0.8776980042457581,,,True
5631334,0.85,0.8872510194778442,,,True
4617076,0.85,0.914162814617157,,,False
2254982,0.85,0.9373774528503418,,,True
4582156,0.85,0.8542903065681458,,,False
2998350,0.85,0.9372996091842651,,,True
1944925,0.85,0.9390137791633606,,,True
1757186,0.85,0.9046454429626465,,,True
2904226,0.85,0.955906867980957,,,False
2808811,0.85,,,,False
2940712,0.85,0.9694486856460571,,,True
6531264,0.85,0.9405838251113892,,,False
1812127,0.85,,,,False
