target_key,rho,efficacy,collateral,neighbor_count,neighbors_observed,neighbors_full_correct,gap_term
1001025,0.95,1.0,0.0,5,5,5,0.0
1001025,0.9,1.0,0.0,5,5,5,0.0
1001025,0.85,1.0,0.0,5,5,5,0.0
1001025,0.8,1.0,0.0,5,5,5,0.0
1001025,0.75,1.0,0.0,5,5,5,0.0
1001025,0.7,1.0,0.0,5,5,5,0.0
1003583,0.95,1.0,0.0,8,8,8,0.0
1003583,0.9,1.0,0.0,8,8,8,0.0
1003583,0.85,1.0,0.0,8,8,8,0.0
1003583,0.8,1.0,0.0,8,8,8,0.0
1003583,0.75,1.0,0.0,8,8,8,0.0
1003583,0.7,1.0,0.0,8,8,8,0.0
1032898,0.95,0.0,0.0,20,20,20,1.0
1032898,0.9,0.0,0.0,20,20,20,1.0
1032898,0.85,1.0,0.0,20,20,20,0.0
1032898,0.8,1.0,0.0,20,20,20,0.0
1032898,0.75,1.0,0.0,20,20,20,0.0
1032898,0.7,1.0,0.0,20,20,20,0.0
1033176,0.95,0.0,0.0,20,20,20,1.0
1033176,0.9,0.0,0.0,20,20,20,1.0
1033176,0.85,0.0,0.0,20,20,20,1.0
1033176,0.8,1.0,0.0,20,20,20,0.0
1033176,0.75,1.0,0.0,20,20,20,0.0
1033176,0.7,1.0,0.0,20,20,20,0.0
104978,0.95,1.0,0.0,20,20,20,0.0
104978,0.9,1.0,0.0,20,20,20,0.0
104978,0.85,1.0,0.0,20,20,20,0.0
104978,0.8,1.0,0.0,20,20,20,0.0
104978,0.75,1.0,0.0,20,20,20,0.0
104978,0.7,1.0,0.0,20,20,20,0.0
1085503,0.95,0.0,0.0,5,5,5,1.0
1085503,0.9,0.0,0.0,5,5,5,1.0
1085503,0.85,0.0,0.0,5,5,5,1.0
1085503,0.8,0.0,0.0,5,5,5,1.0
1085503,0.75,1.0,0.0,5,5,5,0.0
1085503,0.7,1.0,0.0,5,5,5,0.0
1087089,0.95,0.0,0.0,5,5,5,1.0
1087089,0.9,0.0,0.0,5,5,5,1.0
1087089,0.85,0.0,0.0,5,5,5,1.0
1087089,0.8,0.0,0.0,5,5,5,1.0
1087089,0.75,0.0,0.0,5,5,5,1.0
1087089,0.7,1.0,0.0,5,5,5,0.0
110614,0.95,1.0,0.0,12,12,12,0.0
110614,0.9,1.0,0.0,12,12,12,0.0
110614,0.85,1.0,0.0,12,12,12,0.0
110614,0.8,0.0,0.0,12,12,12,1.0
110614,0.75,1.0,0.0,12,12,12,0.0
110614,0.7,1.0,0.0,12,12,12,0.0
1140403,0.95,0.0,0.0,20,20,20,1.0
1140403,0.9,0.0,0.0,20,20,20,1.0
1140403,0.85,0.0,0.0,20,20,20,1.0
1140403,0.8,0.0,0.0,20,20,20,1.0
1140403,0.75,1.0,0.0,20,20,20,0.0
1140403,0.7,1.0,0.0,20,20,20,0.0
1158077,0.95,1.0,0.0,5,5,5,0.0
1158077,0.9,1.0,0.0,5,5,5,0.0
1158077,0.85,1.0,0.0,5,5,5,0.0
1158077,0.8,1.0,0.0,5,5,5,0.0
1158077,0.75,1.0,0.0,5,5,5,0.0
1158077,0.7,1.0,0.0,5,5,5,0.0
1180121,0.95,0.0,0.0,19,19,19,1.0
1180121,0.9,0.0,0.0,19,19,19,1.0
1180121,0.85,0.0,0.0,19,19,19,1.0
1180121,0.8,0.0,0.0,19,19,19,1.0
1180121,0.75,0.0,0.0,19,19,19,1.0
1180121,0.7,1.0,0.0,19,19,19,0.0
1188844,0.95,0.0,0.0,20,20,20,1.0
1188844,0.9,0.0,0.0,20,20,20,1.0
1188844,0.85,0.0,0.0,20,20,20,1.0
1188844,0.8,1.0,0.0,20,20,20,0.0
1188844,0.75,1.0,0.0,20,20,20,0.0
1188844,0.7,0.0,0.0,20,20,20,1.0
119440,0.95,1.0,0.07692307692307693,13,13,13,0.07692307692307693
119440,0.9,1.0,0.07692307692307693,13,13,13,0.07692307692307693
119440,0.85,1.0,0.07692307692307693,13,13,13,0.07692307692307693
119440,0.8,1.0,0.07692307692307693,13,13,13,0.07692307692307693
119440,0.75,1.0,0.07692307692307693,13,13,13,0.07692307692307693
119440,0.7,1.0,0.07692307692307693,13,13,13,0.07692307692307693
119443,0.95,1.0,0.07692307692307693,13,13,13,0.07692307692307693
119443,0.9,1.0,0.07692307692307693,13,13,13,0.07692307692307693
119443,0.85,1.0,0.07692307692307693,13,13,13,0.07692307692307693
119443,0.8,1.0,0.07692307692307693,13,13,13,0.07692307692307693
119443,0.75,1.0,0.07692307692307693,13,13,13,0.07692307692307693
119443,0.7,1.0,0.07692307692307693,13,13,13,0.07692307692307693
1201824,0.95,1.0,0.0,5,5,5,0.0
1201824,0.9,1.0,0.0,5,5,5,0.0
