rho,epsilon,template,topology,facts,selected_facts,target_selected_rate,baseline_correct_rate,evasion_rate,post_attack_correct_rate,attack_gain_rate,attack_regression_rate,correct_given_target_selected,gain_given_target_selected
0.85,0.01,verbatim,single,526,460,0.8745247148288974,0.33269961977186313,0.6863117870722434,0.6863117870722434,0.40874524714828897,0.055133079847908745,0.7108695652173913,0.4673913043478261
0.85,0.01,hyphenated,single,526,460,0.8745247148288974,0.33269961977186313,0.09505703422053231,0.09505703422053231,0.0038022813688212928,0.2414448669201521,0.034782608695652174,0.004347826086956522
0.85,0.01,letter-spaced,single,526,460,0.8745247148288974,0.33269961977186313,0.09315589353612168,0.09315589353612168,0.0019011406844106464,0.2414448669201521,0.03260869565217391,0.002173913043478261
0.85,0.01,prefix-cue,single,526,460,0.8745247148288974,0.33269961977186313,0.09315589353612168,0.09315589353612168,0.0019011406844106464,0.2414448669201521,0.03260869565217391,0.002173913043478261
0.85,0.02,verbatim,single,526,409,0.7775665399239544,0.33269961977186313,0.6711026615969582,0.6711026615969582,0.37832699619771865,0.039923954372623575,0.7163814180929096,0.48655256723716384
0.85,0.02,hyphenated,single,526,409,0.7775665399239544,0.33269961977186313,0.14258555133079848,0.14258555133079848,0.0038022813688212928,0.19391634980988592,0.03667481662591687,0.004889975550122249
0.85,0.02,letter-spaced,single,526,409,0.7775665399239544,0.33269961977186313,0.14068441064638784,0.14068441064638784,0.0019011406844106464,0.19391634980988592,0.034229828850855744,0.0024449877750611247
0.85,0.02,prefix-cue,single,526,409,0.7775665399239544,0.33269961977186313,0.14068441064638784,0.14068441064638784,0.0019011406844106464,0.19391634980988592,0.034229828850855744,0.0024449877750611247
0.85,0.05,verbatim,single,526,303,0.5760456273764258,0.33269961977186313,0.5779467680608364,0.5779467680608364,0.2737642585551331,0.028517110266159697,0.6897689768976898,0.4752475247524752
0.85,0.05,hyphenated,single,526,303,0.5760456273764258,0.33269961977186313,0.20722433460076045,0.20722433460076045,0.0038022813688212928,0.12927756653992395,0.0462046204620462,0.006600660066006601
0.85,0.05,letter-spaced,single,526,303,0.5760456273764258,0.33269961977186313,0.20532319391634982,0.20532319391634982,0.0019011406844106464,0.12927756653992395,0.0429042904290429,0.0033003300330033004
0.85,0.05,prefix-cue,single,526,303,0.5760456273764258,0.33269961977186313,0.20532319391634982,0.20532319391634982,0.0019011406844106464,0.12927756653992395,0.0429042904290429,0.0033003300330033004
