rho,epsilon,template,topology,facts,selected_facts,target_selected_rate,baseline_correct_rate,evasion_rate,post_attack_correct_rate,attack_gain_rate,attack_regression_rate,correct_given_target_selected,gain_given_target_selected
0.85,0.01,verbatim,single,499,435,0.8717434869739479,0.3106212424849699,0.593186372745491,0.593186372745491,0.36072144288577157,0.0781563126252505,0.6137931034482759,0.41379310344827586
0.85,0.01,hyphenated,single,499,433,0.8677354709418837,0.3106212424849699,0.06012024048096192,0.06012024048096192,0.002004008016032064,0.25250501002004005,0.0023094688221709007,0.0023094688221709007
0.85,0.01,letter-spaced,single,499,433,0.8677354709418837,0.3106212424849699,0.05811623246492986,0.05811623246492986,0.0,0.25250501002004005,0.0,0.0
0.85,0.01,prefix-cue,single,499,433,0.8677354709418837,0.3106212424849699,0.05811623246492986,0.05811623246492986,0.0,0.25250501002004005,0.0,0.0
0.85,0.02,verbatim,single,499,385,0.7715430861723447,0.3106212424849699,0.5831663326653307,0.5831663326653307,0.33266533066132264,0.06012024048096192,0.6155844155844156,0.43116883116883115
0.85,0.02,hyphenated,single,499,383,0.7675350701402806,0.3106212424849699,0.11022044088176353,0.11022044088176353,0.002004008016032064,0.20240480961923848,0.0026109660574412533,0.0026109660574412533
0.85,0.02,letter-spaced,single,499,383,0.7675350701402806,0.3106212424849699,0.10821643286573146,0.10821643286573146,0.0,0.20240480961923848,0.0,0.0
0.85,0.02,prefix-cue,single,499,383,0.7675350701402806,0.3106212424849699,0.10821643286573146,0.10821643286573146,0.0,0.20240480961923848,0.0,0.0
0.85,0.05,verbatim,single,499,281,0.56312625250501,0.3106212424849699,0.5090180360721442,0.5090180360721442,0.24048096192384769,0.04208416833667335,0.5907473309608541,0.42704626334519574
0.85,0.05,hyphenated,single,499,279,0.5591182364729459,0.3106212424849699,0.17835671342685372,0.17835671342685372,0.002004008016032064,0.1342685370741483,0.0035842293906810036,0.0035842293906810036
0.85,0.05,letter-spaced,single,499,279,0.5591182364729459,0.3106212424849699,0.17635270541082165,0.17635270541082165,0.0,0.1342685370741483,0.0,0.0
0.85,0.05,prefix-cue,single,499,279,0.5591182364729459,0.3106212424849699,0.17635270541082165,0.17635270541082165,0.0,0.1342685370741483,0.0,0.0
