fact,rho,s_del,s_surv,margin,r_f
fdf6687c-6d21-40a0-8f01-241dd59eb4b7,0.85,0.9231870770454407,,,False
c7f622cd-2fc7-4fd8-a90d-54dc3fada8e9,0.85,,,,False
0d14af5e-a808-478f-b3e7-06ef63c102bf,0.85,,,,False
2cd733bb-3c9c-4782-bce9-72ed5cfa65cf,0.85,0.918372392654419,,,False
2371db10-658c-47c2-973e-a49322ba31fc,0.85,0.8753073215484619,,,False
1f76fc8d-fa59-42d8-9a1d-3637fc578c1a,0.85,0.9438691735267639,,,False
3f3a2470-9f21-4d26-84e0-aa7b75c859bb,0.85,0.9735066890716553,,,False
19a11ebd-9f98-4985-8090-7ff67364ff9e,0.85,0.942546010017395,,,False
8fbce334-e643-42b7-9d30-1b8bf4bfcfaa,0.85,,,,True
785b31aa-f3ba-4902-9bda-8ef8bf232fa6,0.85,0.9061371088027954,,,False
f1fa9f85-9d94-496b-aa92-23452f4d59b2,0.85,0.8994317650794983,,,False
ec7b9899-36c4-43cf-b017-bbbe2b89c8c2,0.85,,,,False
a6be7db2-b86d-4538-a9ac-bf48b5ac5a96,0.85,0.9271461963653564,,,False
888d4df5-40d9-445c-a0f5-45c31416d387,0.85,0.8811518549919128,,,False
b7e3c166-915b-47ff-b015-4f66711001b0,0.85,0.9310302138328552,,,False
e68a9456-b32b-4188-a7fb-5a6c544876e8,0.85,0.9202289581298828,,,False
7bc9245a-dfd6-4a64-bc23-0123ce453236,0.85,0.9370734691619873,,,False
85241657-c87c-46c5-b626-c14fa8a6917f,0.85,0.9536124467849731,,,False
54521b20-3462-4321-9dd9-b33a7d2c26d9,0.85,0.8923328518867493,,,False
85861498-a24d-4bf9-bdd4-fcfe9976e949,0.85,0.9237000346183777,,,False
1ff0a6b0-b44e-4aa0-b217-818fa2de2d8f,0.85,0.9169305562973022,,,False
93b87f66-5fbf-4190-9d52-2ac0ce22ecb7,0.85,0.9318544864654541,,,False
36ec690a-3450-4a7f-80eb-07577c33cc9f,0.85,0.9308363795280457,,,False
e8d3e779-7693-42c1-a1ca-e45de94e3595,0.85,0.8972568511962891,,,True
e91ed2b3-8fdc-4eef-8f46-2b4f14914738,0.85,,,,False
cc767900-fdc5-437b-92af-a314b1cdac16,0.85,0.8655928373336792,,,False
84c936e1-cb4c-45f3-9b80-c761b4bdbb6f,0.85,0.9028264284133911,,,True
3a45c971-ef98-463b-aa51-a1614f90c9ec,0.85,0.9561235904693604,,,False
f1365093-ce15-4f81-a7a0-6f826593588c,0.85,0.914374589920044,,,False
78117ce8-a74d-4e6a-aa52-e3e2219c9875,0.85,0.9089443683624268,,,False
e7d068db-28d3-485a-b5f4-af4770b40496,0.85,0.932495653629303,,,False
10beb965-2564-45ac-b577-27c7906133ff,0.85,0.9531722664833069,,,False
8ba0c39c-de76-4a09-b7bd-ffd87ddc9e39,0.85,0.8982384204864502,,,False
e6c2c7be-b040-4e14-94dc-61bf101d89b6,0.85,0.9323098659515381,,,True
c54ff80b-b0fa-4bd4-8f5a-3ce0f3781931,0.85,0.9466190934181213,,,False
82133c5b-a211-491d-b3e6-6e43f2ea3ca8,0.85,0.8665155172348022,,,False
8bb950c4-2367-4fe2-9a2a-0340386cef84,0.85,0.9399945735931396,,,True
cebaeedf-1246-4b32-8e56-2102cc809681,0.85,0.9568233489990234,,,False
ca189a4e-41f0-4d9b-8e37-c595bbe8dc4e,0.85,0.9502827525138855,,,False
46f718d1-352d-4b17-b1f4-fe46b0b7bfe9,0.85,0.9201524257659912,,,False
8035b87f-42fc-408b-85ad-b5a46060deeb,0.85,0.9445370435714722,,,False
4bd35f11-2748-4460-82fc-684148964528,0.85,0.8711249232292175,,,False
b50783f1-4546-4d46-ace5-f0f7c1ceae77,0.85,0.8521025776863098,,,False
ab555b7c-b281-403d-9ddb-c11309c99f00,0.85,0.9587992429733276,,,False
1b7812d1-3e88-44b8-99dc-8b1b5b1ef3c4,0.85,0.9474195241928101,,,False
ce29d779-18c9-44ac-ae84-d991e89066ff,0.85,0.9273254871368408,,,False
83b4701a-0028-4fa6-91b5-a924d40d883c,0.85,,,,False
c6110988-e7b6-40d6-9653-8c43f7f3e4c2,0.85,0.8922566175460815,,,False
868dc0ff-587b-4a63-a857-b598c800ea0a,0.85,0.8558975458145142,,,False
fbea0ee3-a3e6-4766-a9d8-a6460a536eb5,0.85,0.9547765851020813,,,True
32f1b6e1-6ae0-4868-8401-c3b4f3b6b276,0.85,0.9621053338050842,,,False
e01baa0d-e062-4c8d-b121-a47251ca5228,0.85,,,,False
493045ca-9f44-47eb-934a-fe2eeeed77a7,0.85,0.934255063533783,,,False
bf5904cc-defa-434e-98a5-b7fe9f2d0487,0.85,0.9675788879394531,,,False
941d972d-fd67-4c08-85b5-4f0b9083d81a,0.85,0.9441268444061279,,,True
