target_key,gap,gap_rho,gap_eligible
0004a59e-08f5-4597-a4f5-3f1d2620944e,0.0,0.95,True
002ccc7a-39c7-4225-826c-041d5f5ae344,0.0,0.85,True
009b44ff-878e-4bd6-bf2b-bd1396ece39e,0.0,0.95,True
01ce6a94-1c4f-4664-8ef4-07d5dee525d9,0.0,0.95,True
0255884b-7e4c-4103-a55c-30fb9b198ab9,0.0,0.95,True
02ed2027-16fc-41bb-ace4-6af660f5482c,0.0,0.95,True
03161dc0-3d38-4457-ab4f-618bdd21fb2c,0.0,0.75,True
04011add-c9a6-48f4-9b83-c98b4521d425,0.0,0.95,True
04ccefe0-50e6-41ec-8e3d-3c43a7e51e82,0.0,0.95,True
04ddde5e-7b37-4e26-b4e1-f9abd2cdb30e,0.0,0.85,True
05c96e03-d471-4074-b219-212ace5e466e,0.0,0.95,True
062ebb5b-1a6f-4e7c-8283-daa9b579efa7,0.0,0.95,True
08422523-29ad-4868-9096-4ef4d2f08768,0.0,0.95,True
09d8adc3-fbd5-42e2-80d5-5fc4ae3cf978,0.0,0.95,True
0a98b831-9122-422a-8d15-324619e90aa3,0.0,0.9,True
0bfcf9bf-2c3e-4cea-a452-89d7fed81720,0.0,0.85,True
0d14af5e-a808-478f-b3e7-06ef63c102bf,0.0,0.95,True
0e95a2f8-d17f-4a0c-89a4-13c93950ce39,0.0,0.95,True
0fbcaf93-3804-47e2-b373-e73c2edc6afd,0.0,0.95,True
1032b5fe-8a31-442a-bae4-806521db9ccc,0.0,0.95,True
10beb965-2564-45ac-b577-27c7906133ff,0.0,0.95,True
10cd791d-57f3-42c9-8dee-20a08556af42,0.0,0.95,True
1128c9e5-0faf-453a-bba1-3e546a781b6c,0.0,0.95,True
12c69ca8-9f05-4c83-9f53-e5ef30436c73,0.0,0.95,True
130c8b2e-92ff-45c5-a57a-6276297fc058,0.0,0.8,True
134e31cd-dd20-4e07-be46-fe13062bb01e,0.0,0.95,True
1411716a-c40c-4b3c-a3aa-d83788826fcf,0.0,0.8,True
145f9691-e9b1-45b0-a751-698c469f8a7f,0.0,0.9,True
146a27ae-9dca-4309-9f9f-2eea5660fdfd,0.0,0.95,True
