fact,answer,fold,samples,samples_scored,l_rep,predicted,label_unseen,behavioral_l
zsre-1000,Oedipus,3,1,1,1.0,Oedipus,False,0.0
zsre-10006,21 February 1986,3,1,1,0.0,16 February 1994,False,0.0
zsre-10009,21 January 1962,4,1,1,0.0,19 July 1987,False,0.0
zsre-1001,Oedipus,2,1,1,1.0,Oedipus,False,0.0
zsre-10012,May 1872,1,1,1,0.0,1869,False,0.0
zsre-10017,Pierre Méchain,2,1,1,0.0,Giovanni Battista Hodierna,False,0.0
zsre-10018,Pierre Méchain,4,1,1,0.0,Giovanni Battista Hodierna,False,0.0
zsre-1002,Oedipus,0,1,1,1.0,Oedipus,False,0.0
zsre-10024,Harry Potter,2,1,1,1.0,Harry Potter,False,0.0
zsre-10026,Harry Potter,4,1,1,1.0,Harry Potter,False,0.0
zsre-10034,1790,2,1,1,0.0,19 November 1980,False,0.0
zsre-10045,Matthew Kirtley,0,1,1,0.0,George Brittain,False,0.0
zsre-10046,Matthew Kirtley,0,1,1,0.0,George Brittain,False,0.0
zsre-10047,Matthew Kirtley,0,1,1,0.0,George Brittain,False,0.0
zsre-10048,Matthew Kirtley,0,1,1,0.0,George Brittain,False,0.0
zsre-10051,Doha International Airport,0,1,1,1.0,Doha International Airport,False,0.0
zsre-10052,Doha International Airport,3,1,1,1.0,Doha International Airport,False,0.0
zsre-10053,Doha International Airport,4,1,1,1.0,Doha International Airport,False,0.0
zsre-10055,Doha International Airport,1,1,1,1.0,Doha International Airport,False,0.0
zsre-10057,Doha International Airport,2,1,1,1.0,Doha International Airport,False,0.0
zsre-10058,Doha International Airport,2,1,1,1.0,Doha International Airport,False,0.0
zsre-10059,Doha International Airport,0,1,1,1.0,Doha International Airport,False,0.0
zsre-10062,C,4,1,1,1.0,C,False,0.0
zsre-10063,C,1,1,1,1.0,C,False,0.0
zsre-10064,C,4,1,1,1.0,C,False,0.0
zsre-10065,Lupus,1,1,1,0.0,Pavo,False,0.0
zsre-10082,Sophie Amalie of Brunswick-Lüneburg,1,1,1,1.0,Sophie Amalie of Brunswick-Lüneburg,False,0.0
zsre-10084,Sophie Amalie of Brunswick-Lüneburg,0,1,1,1.0,Sophie Amalie of Brunswick-Lüneburg,False,0.0
zsre-10086,18 January 1992,3,1,1,0.0,11 September 1994,False,0.0
zsre-10096,432,2,1,1,0.0,11 September 1994,False,0.0
zsre-10097,1767,0,1,1,0.0,16 February 1944,False,0.0
zsre-10104,John Erpenbeck,1,1,1,0.0,Poul Møller,False,0.0
zsre-10109,Random House,1,1,1,0.0,University of Arizona Press,False,0.0
zsre-1012,Thunderball,0,1,1,0.0,The Princess Bride,False,0.0
zsre-10120,8 February 1994,4,1,1,0.0,19 September 1986,False,0.0
zsre-10121,Øystein Ore,1,1,1,1.0,Øystein Ore,False,0.0
zsre-10122,Øystein Ore,2,1,1,1.0,Øystein Ore,False,0.0
zsre-10128,1140,3,1,1,0.0,19 January 1903,False,0.0
zsre-10130,3 June 2013,4,1,1,0.0,2 May 1971,False,0.0
zsre-10135,18 April 1941,3,1,1,0.0,16 March 1983,False,0.0
zsre-10140,House of Savoy,1,1,1,1.0,House of Savoy,False,0.0
zsre-10141,House of Savoy,0,1,1,1.0,House of Savoy,False,0.0
zsre-10143,Manav Gohil,2,1,1,0.0,Mahaakshay Chakraborty,False,0.0
