fact,answer,fold,samples,samples_scored,l_rep,predicted,label_unseen,behavioral_l
zsre-100,Manning River,0,1,1,0.0,Ken Duncan,False,0.0
zsre-1000,Oedipus,2,1,1,1.0,Oedipus,False,0.0
zsre-1002,Oedipus,3,1,1,1.0,Oedipus,False,0.0
zsre-1009,defender,0,1,1,1.0,defender,False,0.0
zsre-1012,Thunderball,0,1,1,0.0,Torchwood,False,0.0
zsre-1016,David Belle,0,1,1,0.0,French,False,0.0
zsre-1026,World Scientific,4,1,1,1.0,World Scientific,False,0.0
zsre-1027,World Scientific,0,1,1,1.0,World Scientific,False,0.0
zsre-1030,Mars,1,1,1,0.0,Antarctica,False,0.0
zsre-1032,Mars,2,1,1,1.0,Mars,False,0.0
zsre-1037,Saint-Claude,1,1,1,0.0,Oss,False,0.0
zsre-1042,Cambridge University Press,1,1,1,1.0,Cambridge University Press,False,0.0
zsre-1043,Cambridge University Press,2,1,1,1.0,Cambridge University Press,False,0.0
zsre-1045,Glee,4,1,1,0.0,Torchwood,False,0.0
zsre-1047,Australian rules footballer,3,1,1,0.0,Manchester,False,0.0
zsre-1048,Kozhikode district,2,1,1,0.0,Uthangarai taluk,False,0.0
zsre-1049,Medknow Publications,2,1,1,0.0,World Scientific,False,0.0
zsre-1050,8 January 1989,4,1,1,1.0,8 January 1989,False,0.0
zsre-1051,8 January 1989,2,1,1,1.0,8 January 1989,False,0.0
zsre-1055,The Case-Book of Sherlock Holmes,4,1,1,0.0,Torchwood,False,0.0
zsre-1058,The Twilight Zone,3,1,1,0.0,Sculptor,False,0.0
zsre-1061,Harrow School,0,1,1,0.0,Tulane University,False,0.0
zsre-1066,Paris,1,1,1,1.0,Paris,False,0.0
zsre-1067,Estadio Garcilaso,4,1,1,1.0,Estadio Garcilaso,False,0.0
zsre-1068,Estadio Garcilaso,1,1,1,1.0,Estadio Garcilaso,False,0.0
zsre-1069,Estadio Garcilaso,4,1,1,1.0,Estadio Garcilaso,False,0.0
zsre-1070,Estadio Garcilaso,3,1,1,1.0,Estadio Garcilaso,False,0.0
zsre-1071,Estadio Garcilaso,0,1,1,1.0,Estadio Garcilaso,False,0.0
zsre-1072,Estadio Garcilaso,0,1,1,1.0,Estadio Garcilaso,False,0.0
zsre-1073,Estadio Garcilaso,1,1,1,1.0,Estadio Garcilaso,False,0.0
zsre-1074,Estadio Garcilaso,1,1,1,1.0,Estadio Garcilaso,False,0.0
zsre-1075,Estadio Garcilaso,0,1,1,1.0,Estadio Garcilaso,False,0.0
zsre-1077,Estadio Garcilaso,1,1,1,1.0,Estadio Garcilaso,False,0.0
zsre-1078,Estadio Garcilaso,4,1,1,1.0,Estadio Garcilaso,False,0.0
zsre-1079,Estadio Garcilaso,1,1,1,1.0,Estadio Garcilaso,False,0.0
zsre-1080,Estadio Garcilaso,4,1,1,1.0,Estadio Garcilaso,False,0.0
zsre-1081,Estadio Garcilaso,3,1,1,1.0,Estadio Garcilaso,False,0.0
zsre-1082,Estadio Garcilaso,4,1,1,1.0,Estadio Garcilaso,False,0.0
zsre-1083,Estadio Garcilaso,0,1,1,1.0,Estadio Garcilaso,False,0.0
zsre-1084,Estadio Garcilaso,1,1,1,1.0,Estadio Garcilaso,False,0.0
zsre-1085,Estadio Garcilaso,1,1,1,1.0,Estadio Garcilaso,False,0.0
zsre-1086,Estadio Garcilaso,2,1,1,1.0,Estadio Garcilaso,False,0.0
zsre-1088,Thomas Worthington,0,1,1,1.0,Thomas Worthington,False,0.0
zsre-1089,Thomas Worthington,2,1,1,1.0,Thomas Worthington,False,0.0
zsre-1090,Thomas Worthington,2,1,1,1.0,Thomas Worthington,False,0.0
zsre-1091,Thomas Worthington,3,1,1,1.0,Thomas Worthington,False,0.0
zsre-1094,defender,1,1,1,1.0,defender,False,0.0
zsre-1097,Spain,1,1,1,0.0,Spanish,False,0.0
zsre-1098,Cologne,2,1,1,0.0,Paris,False,0.0
zsre-1100,Alestidae,1,1,1,0.0,Rubiaceae,False,0.0
zsre-1102,1818,4,1,1,0.0,12 July 1944,False,0.0
zsre-1107,1928,2,1,1,0.0,10 October 1982,False,0.0
zsre-1108,Seona Dancing,1,1,1,0.0,Harry O. Hoyt,False,0.0
zsre-111,24 April 1977,2,1,1,0.0,23 October 1943,False,0.0
zsre-1110,Paris,1,1,1,1.0,Paris,False,0.0
zsre-1115,ITV,0,1,1,0.0,Israeli Educational Television,False,0.0
