rho,epsilon,template,topology,facts,selected_facts,target_selected_rate,baseline_correct_rate,evasion_rate,post_attack_correct_rate,attack_gain_rate,attack_regression_rate,correct_given_target_selected,gain_given_target_selected
0.85,0.01,verbatim,single,2260,1950,0.8628318584070797,0.413716814159292,0.6761061946902654,0.6761061946902654,0.36902654867256635,0.10663716814159292,0.6723076923076923,0.4276923076923077
0.85,0.01,hyphenated,single,2260,1949,0.8623893805309735,0.413716814159292,0.12389380530973451,0.12389380530973451,0.019469026548672566,0.3092920353982301,0.0323242688558235,0.022575679835813236
0.85,0.01,letter-spaced,single,2260,1947,0.8615044247787611,0.413716814159292,0.10265486725663717,0.10265486725663717,0.005309734513274336,0.3163716814159292,0.007704160246533128,0.0061633281972265025
0.85,0.01,prefix-cue,single,2260,1947,0.8615044247787611,0.413716814159292,0.09601769911504425,0.09601769911504425,0.0,0.3176991150442478,0.0,0.0
0.85,0.02,verbatim,single,2260,1815,0.8030973451327433,0.413716814159292,0.6831858407079646,0.6831858407079646,0.35752212389380533,0.08805309734513274,0.6837465564738292,0.44517906336088153
0.85,0.02,hyphenated,single,2260,1812,0.8017699115044248,0.413716814159292,0.16106194690265488,0.16106194690265488,0.019469026548672566,0.2721238938053097,0.0336644591611479,0.024282560706401765
0.85,0.02,letter-spaced,single,2260,1812,0.8017699115044248,0.413716814159292,0.1407079646017699,0.1407079646017699,0.005309734513274336,0.27831858407079646,0.008278145695364239,0.006622516556291391
0.85,0.02,prefix-cue,single,2260,1812,0.8017699115044248,0.413716814159292,0.134070796460177,0.134070796460177,0.0,0.27964601769911507,0.0,0.0
0.85,0.05,verbatim,single,2260,1483,0.6561946902654867,0.413716814159292,0.6889380530973451,0.6889380530973451,0.3292035398230089,0.05398230088495575,0.703304113283884,0.5016857720836143
0.85,0.05,hyphenated,single,2260,1482,0.6557522123893805,0.413716814159292,0.24955752212389382,0.24955752212389382,0.017256637168141593,0.18141592920353983,0.033738191632928474,0.02631578947368421
0.85,0.05,letter-spaced,single,2260,1482,0.6557522123893805,0.413716814159292,0.2323008849557522,0.2323008849557522,0.003982300884955752,0.18539823008849557,0.007422402159244264,0.006072874493927126
0.85,0.05,prefix-cue,single,2260,1482,0.6557522123893805,0.413716814159292,0.22743362831858407,0.22743362831858407,0.0,0.18628318584070797,0.0,0.0
