fact,rho,s_del,s_surv,margin,r_f
zsre-5,0.85,0.8721569180488586,,,False
zsre-6,0.85,,,,False
zsre-7,0.85,,,,False
zsre-8,0.85,,,,False
zsre-9,0.85,,,,False
zsre-12,0.85,,,,True
zsre-13,0.85,0.8829222917556763,,,True
zsre-14,0.85,,,,True
zsre-15,0.85,,,,True
zsre-17,0.85,,,,True
zsre-23,0.85,0.855690598487854,,,True
zsre-24,0.85,0.8770474195480347,,,True
zsre-25,0.85,,,,False
zsre-27,0.85,,,,False
zsre-28,0.85,,,,False
zsre-29,0.85,,,,False
zsre-30,0.85,0.860994815826416,,,False
zsre-32,0.85,,,,False
zsre-34,0.85,,,,False
zsre-39,0.85,,,,False
zsre-44,0.85,,,,False
zsre-45,0.85,,,,False
zsre-47,0.85,,,,False
zsre-53,0.85,,,,False
zsre-57,0.85,,,,False
zsre-64,0.85,0.9165670871734619,,,False
zsre-75,0.85,,,,False
zsre-76,0.85,,,,False
zsre-78,0.85,,,,False
zsre-79,0.85,,,,False
zsre-83,0.85,,,,False
zsre-85,0.85,,,,False
zsre-89,0.85,,,,False
zsre-100,0.85,,,,False
zsre-113,0.85,,,,False
zsre-114,0.85,,,,False
zsre-115,0.85,,,,False
zsre-116,0.85,,,,False
zsre-123,0.85,0.8606624603271484,,,False
zsre-125,0.85,0.9134345054626465,,,False
zsre-126,0.85,,,,False
zsre-132,0.85,,,,False
zsre-146,0.85,,,,False
zsre-147,0.85,,,,False
zsre-158,0.85,0.9080520868301392,,,False
zsre-159,0.85,,,,False
zsre-160,0.85,,,,True
zsre-162,0.85,,,,False
zsre-163,0.85,,,,False
zsre-168,0.85,,,,False
zsre-180,0.85,,,,False
zsre-181,0.85,,,,False
zsre-184,0.85,,,,False
zsre-190,0.85,,,,False
zsre-192,0.85,,,,False
zsre-214,0.85,,,,False
zsre-215,0.85,,,,False
zsre-216,0.85,0.8644151091575623,,,False
zsre-220,0.85,,,,False
zsre-223,0.85,,,,False
zsre-224,0.85,,,,False
zsre-226,0.85,,,,False
zsre-228,0.85,,,,False
zsre-229,0.85,0.8721259832382202,,,False
zsre-230,0.85,,,,False
zsre-237,0.85,,,,False
zsre-238,0.85,,,,False
zsre-239,0.85,,,,False
zsre-265,0.85,,,,False
zsre-270,0.85,,,,False
zsre-271,0.85,,,,False
zsre-272,0.85,,,,False
zsre-273,0.85,,,,False
zsre-288,0.85,0.8929919004440308,,,False
zsre-300,0.85,,,,False
zsre-301,0.85,,,,False
zsre-312,0.85,,,,False
zsre-324,0.85,,,,False
zsre-326,0.85,,,,True
zsre-330,0.85,,,,False
zsre-333,0.85,,,,False
zsre-334,0.85,0.8954166173934937,,,False
zsre-335,0.85,0.8942099809646606,,,False
zsre-342,0.85,,,,True
zsre-343,0.85,0.9148266315460205,,,True
zsre-362,0.85,0.8755145072937012,,,False
zsre-365,0.85,,,,False
zsre-372,0.85,,,,False
zsre-379,0.85,0.8551557064056396,,,True
zsre-380,0.85,,,,False
zsre-385,0.85,0.8884274363517761,,,False
zsre-388,0.85,0.9186136722564697,,,False
