target_key,rho,efficacy,collateral,neighbor_count,neighbors_observed,neighbors_full_correct,gap_term
zsre-1000,0.95,0.0,0.05,20,20,20,1.05
zsre-1000,0.9,1.0,0.1,20,20,20,0.1
zsre-1000,0.85,1.0,0.0,20,20,20,0.0
zsre-1000,0.8,1.0,0.15,20,20,20,0.15
zsre-1000,0.75,1.0,0.15,20,20,20,0.15
zsre-1000,0.7,1.0,0.15,20,20,20,0.15
zsre-1001,0.95,0.0,0.0,15,15,15,1.0
zsre-1001,0.9,0.0,0.0,15,15,15,1.0
zsre-1001,0.85,0.0,0.0,15,15,15,1.0
zsre-1001,0.8,1.0,0.2,15,15,15,0.2
zsre-1001,0.75,1.0,0.2,15,15,15,0.2
zsre-1001,0.7,1.0,0.2,15,15,15,0.2
zsre-10017,0.95,0.0,0.0,9,9,9,1.0
zsre-10017,0.9,1.0,0.0,9,9,9,0.0
zsre-10017,0.85,1.0,0.1111111111111111,9,9,9,0.1111111111111111
zsre-10017,0.8,1.0,0.0,9,9,9,0.0
zsre-10017,0.75,1.0,0.1111111111111111,9,9,9,0.1111111111111111
zsre-10017,0.7,1.0,0.1111111111111111,9,9,9,0.1111111111111111
zsre-10018,0.95,0.0,0.0,12,12,12,1.0
zsre-10018,0.9,0.0,0.08333333333333333,12,12,12,1.0833333333333333
zsre-10018,0.85,1.0,0.08333333333333333,12,12,12,0.08333333333333333
zsre-10018,0.8,1.0,0.08333333333333333,12,12,12,0.08333333333333333
zsre-10018,0.75,1.0,0.08333333333333333,12,12,12,0.08333333333333333
zsre-10018,0.7,1.0,0.08333333333333333,12,12,12,0.08333333333333333
zsre-1002,0.95,1.0,0.0,16,16,16,0.0
zsre-1002,0.9,0.0,0.0625,16,16,16,1.0625
zsre-1002,0.85,0.0,0.0,16,16,16,1.0
zsre-1002,0.8,1.0,0.1875,16,16,16,0.1875
zsre-1002,0.75,1.0,0.1875,16,16,16,0.1875
zsre-1002,0.7,1.0,0.1875,16,16,16,0.1875
zsre-10024,0.95,0.0,0.0,5,5,5,1.0
zsre-10024,0.9,0.0,0.0,5,5,5,1.0
zsre-10024,0.85,0.0,0.0,5,5,5,1.0
zsre-10024,0.8,0.0,0.0,5,5,5,1.0
zsre-10024,0.75,0.0,0.0,5,5,5,1.0
zsre-10024,0.7,1.0,0.0,5,5,5,0.0
zsre-10026,0.95,1.0,0.0,5,5,5,0.0
zsre-10026,0.9,1.0,0.0,5,5,5,0.0
zsre-10026,0.85,1.0,0.0,5,5,5,0.0
zsre-10026,0.8,1.0,0.0,5,5,5,0.0
zsre-10026,0.75,0.0,0.0,5,5,5,1.0
zsre-10026,0.7,1.0,0.0,5,5,5,0.0
zsre-10034,0.95,0.0,0.0,5,5,5,1.0
zsre-10034,0.9,0.0,0.0,5,5,5,1.0
zsre-10034,0.85,1.0,0.0,5,5,5,0.0
zsre-10034,0.8,1.0,0.0,5,5,5,0.0
zsre-10034,0.75,1.0,0.0,5,5,5,0.0
zsre-10034,0.7,1.0,0.0,5,5,5,0.0
zsre-10045,0.95,1.0,0.15,20,20,20,0.15
zsre-10045,0.9,1.0,0.15,20,20,20,0.15
zsre-10045,0.85,1.0,0.15,20,20,20,0.15
zsre-10045,0.8,1.0,0.15,20,20,20,0.15
zsre-10045,0.75,1.0,0.15,20,20,20,0.15
zsre-10045,0.7,1.0,0.35,20,20,20,0.35
zsre-10046,0.95,1.0,0.15,20,20,20,0.15
zsre-10046,0.9,1.0,0.15,20,20,20,0.15
zsre-10046,0.85,1.0,0.15,20,20,20,0.15
zsre-10046,0.8,1.0,0.15,20,20,20,0.15
zsre-10046,0.75,1.0,0.15,20,20,20,0.15
zsre-10046,0.7,1.0,0.15,20,20,20,0.15
zsre-10047,0.95,1.0,0.15,20,20,20,0.15
zsre-10047,0.9,1.0,0.15,20,20,20,0.15
zsre-10047,0.85,1.0,0.15,20,20,20,0.15
zsre-10047,0.8,1.0,0.15,20,20,20,0.15
zsre-10047,0.75,1.0,0.15,20,20,20,0.15
zsre-10047,0.7,1.0,0.35,20,20,20,0.35
zsre-10048,0.95,1.0,0.15,20,20,20,0.15
zsre-10048,0.9,1.0,0.15,20,20,20,0.15
zsre-10048,0.85,1.0,0.15,20,20,20,0.15
zsre-10048,0.8,1.0,0.15,20,20,20,0.15
zsre-10048,0.75,1.0,0.15,20,20,20,0.15
zsre-10048,0.7,1.0,0.15,20,20,20,0.15
zsre-10059,0.95,1.0,0.0,5,5,5,0.0
zsre-10059,0.9,1.0,0.0,5,5,5,0.0
zsre-10059,0.85,1.0,0.0,5,5,5,0.0
zsre-10059,0.8,1.0,0.0,5,5,5,0.0
zsre-10059,0.75,1.0,0.0,5,5,5,0.0
zsre-10059,0.7,1.0,0.0,5,5,5,0.0
zsre-10062,0.95,0.0,0.0,20,20,20,1.0
zsre-10062,0.9,0.0,0.0,20,20,20,1.0
zsre-10062,0.85,0.0,0.0,20,20,20,1.0
zsre-10062,0.8,1.0,0.0,20,20,20,0.0
zsre-10062,0.75,1.0,0.0,20,20,20,0.0
zsre-10062,0.7,1.0,0.05,20,20,20,0.05
zsre-10063,0.95,1.0,0.0,20,20,20,0.0
zsre-10063,0.9,1.0,0.0,20,20,20,0.0
zsre-10063,0.85,1.0,0.0,20,20,20,0.0
zsre-10063,0.8,1.0,0.0,20,20,20,0.0
zsre-10063,0.75,1.0,0.0,20,20,20,0.0
zsre-10063,0.7,1.0,0.0,20,20,20,0.0
zsre-10064,0.95,0.0,0.0,20,20,20,1.0
zsre-10064,0.9,0.0,0.0,20,20,20,1.0
zsre-10064,0.85,0.0,0.0,20,20,20,1.0
zsre-10064,0.8,1.0,0.0,20,20,20,0.0
zsre-10064,0.75,1.0,0.0,20,20,20,0.0
zsre-10064,0.7,1.0,0.0,20,20,20,0.0
zsre-10096,0.95,1.0,0.0,5,5,5,0.0
zsre-10096,0.9,1.0,0.0,5,5,5,0.0
zsre-10096,0.85,1.0,0.0,5,5,5,0.0
zsre-10096,0.8,1.0,0.0,5,5,5,0.0
zsre-10096,0.75,1.0,0.0,5,5,5,0.0
zsre-10096,0.7,1.0,0.0,5,5,5,0.0
zsre-10097,0.95,1.0,0.0,5,5,5,0.0
zsre-10097,0.9,1.0,0.0,5,5,5,0.0
zsre-10097,0.85,1.0,0.0,5,5,5,0.0
zsre-10097,0.8,1.0,0.0,5,5,5,0.0
zsre-10097,0.75,1.0,0.0,5,5,5,0.0
zsre-10097,0.7,1.0,0.0,5,5,5,0.0
zsre-10104,0.95,1.0,0.0,5,5,5,0.0
zsre-10104,0.9,1.0,0.0,5,5,5,0.0
zsre-10104,0.85,1.0,0.0,5,5,5,0.0
zsre-10104,0.8,1.0,0.0,5,5,5,0.0
zsre-10104,0.75,1.0,0.0,5,5,5,0.0
zsre-10104,0.7,1.0,0.0,5,5,5,0.0
zsre-10109,0.95,1.0,0.0,9,9,9,0.0
zsre-10109,0.9,1.0,0.0,9,9,9,0.0
zsre-10109,0.85,1.0,0.0,9,9,9,0.0
zsre-10109,0.8,1.0,0.0,9,9,9,0.0
zsre-10109,0.75,1.0,0.0,9,9,9,0.0
zsre-10109,0.7,1.0,0.0,9,9,9,0.0
zsre-1012,0.95,1.0,0.0,5,5,5,0.0
zsre-1012,0.9,1.0,0.0,5,5,5,0.0
zsre-1012,0.85,1.0,0.0,5,5,5,0.0
zsre-1012,0.8,1.0,0.0,5,5,5,0.0
zsre-1012,0.75,1.0,0.0,5,5,5,0.0
zsre-1012,0.7,1.0,0.0,5,5,5,0.0
zsre-10121,0.95,0.0,0.0,12,12,12,1.0
zsre-10121,0.9,0.0,0.0,12,12,12,1.0
zsre-10121,0.85,0.0,0.0,12,12,12,1.0
zsre-10121,0.8,0.0,0.0,12,12,12,1.0
zsre-10121,0.75,1.0,0.08333333333333333,12,12,12,0.08333333333333333
zsre-10121,0.7,1.0,0.08333333333333333,12,12,12,0.08333333333333333
zsre-10122,0.95,0.0,0.0,9,9,9,1.0
zsre-10122,0.9,0.0,0.0,9,9,9,1.0
zsre-10122,0.85,0.0,0.0,9,9,9,1.0
zsre-10122,0.8,0.0,0.0,9,9,9,1.0
zsre-10122,0.75,1.0,0.1111111111111111,9,9,9,0.1111111111111111
zsre-10122,0.7,1.0,0.1111111111111111,9,9,9,0.1111111111111111
zsre-10140,0.95,1.0,0.2,5,5,5,0.2
zsre-10140,0.9,1.0,0.2,5,5,5,0.2
zsre-10140,0.85,1.0,0.2,5,5,5,0.2
zsre-10140,0.8,1.0,0.2,5,5,5,0.2
zsre-10140,0.75,1.0,0.2,5,5,5,0.2
zsre-10140,0.7,1.0,0.0,5,5,5,0.0
zsre-10141,0.95,1.0,0.2,5,5,5,0.2
zsre-10141,0.9,1.0,0.2,5,5,5,0.2
zsre-10141,0.85,1.0,0.2,5,5,5,0.2
zsre-10141,0.8,1.0,0.2,5,5,5,0.2
zsre-10141,0.75,0.0,0.0,5,5,5,1.0
zsre-10141,0.7,1.0,0.2,5,5,5,0.2
zsre-10154,0.95,1.0,0.0,5,5,5,0.0
zsre-10154,0.9,1.0,0.0,5,5,5,0.0
zsre-10154,0.85,1.0,0.0,5,5,5,0.0
zsre-10154,0.8,1.0,0.0,5,5,5,0.0
zsre-10154,0.75,1.0,0.0,5,5,5,0.0
zsre-10154,0.7,1.0,0.0,5,5,5,0.0
zsre-10166,0.95,1.0,0.0,8,8,8,0.0
zsre-10166,0.9,1.0,0.0,8,8,8,0.0
zsre-10166,0.85,1.0,0.0,8,8,8,0.0
zsre-10166,0.8,1.0,0.0,8,8,8,0.0
zsre-10166,0.75,1.0,0.0,8,8,8,0.0
zsre-10166,0.7,1.0,0.0,8,8,8,0.0
zsre-10212,0.95,0.0,0.0,5,5,5,1.0
zsre-10212,0.9,0.0,0.0,5,5,5,1.0
zsre-10212,0.85,0.0,0.0,5,5,5,1.0
zsre-10212,0.8,0.0,0.0,5,5,5,1.0
zsre-10212,0.75,0.0,0.0,5,5,5,1.0
zsre-10212,0.7,1.0,0.0,5,5,5,0.0
zsre-10218,0.95,1.0,0.0,5,5,5,0.0
zsre-10218,0.9,1.0,0.0,5,5,5,0.0
zsre-10218,0.85,1.0,0.0,5,5,5,0.0
zsre-10218,0.8,1.0,0.0,5,5,5,0.0
zsre-10218,0.75,1.0,0.0,5,5,5,0.0
zsre-10218,0.7,1.0,0.0,5,5,5,0.0
zsre-10225,0.95,1.0,0.0,5,5,5,0.0
zsre-10225,0.9,1.0,0.0,5,5,5,0.0
zsre-10225,0.85,1.0,0.0,5,5,5,0.0
zsre-10225,0.8,1.0,0.0,5,5,5,0.0
zsre-10225,0.75,0.0,0.0,5,5,5,1.0
zsre-10225,0.7,1.0,0.0,5,5,5,0.0
zsre-10227,0.95,0.0,0.0,6,6,6,1.0
zsre-10227,0.9,0.0,0.0,6,6,6,1.0
zsre-10227,0.85,0.0,0.0,6,6,6,1.0
zsre-10227,0.8,1.0,0.0,6,6,6,0.0
zsre-10227,0.75,1.0,0.0,6,6,6,0.0
zsre-10227,0.7,1.0,0.0,6,6,6,0.0
zsre-10233,0.95,1.0,0.3333333333333333,9,9,9,0.3333333333333333
zsre-10233,0.9,1.0,0.3333333333333333,9,9,9,0.3333333333333333
zsre-10233,0.85,1.0,0.3333333333333333,9,9,9,0.3333333333333333
zsre-10233,0.8,1.0,0.3333333333333333,9,9,9,0.3333333333333333
zsre-10233,0.75,1.0,0.3333333333333333,9,9,9,0.3333333333333333
zsre-10233,0.7,1.0,0.3333333333333333,9,9,9,0.3333333333333333
zsre-10235,0.95,1.0,0.375,8,8,8,0.375
zsre-10235,0.9,1.0,0.375,8,8,8,0.375
zsre-10235,0.85,1.0,0.375,8,8,8,0.375
zsre-10235,0.8,1.0,0.375,8,8,8,0.375
zsre-10235,0.75,1.0,0.375,8,8,8,0.375
zsre-10235,0.7,1.0,0.375,8,8,8,0.375
zsre-10236,0.95,1.0,0.2727272727272727,11,11,11,0.2727272727272727
zsre-10236,0.9,1.0,0.2727272727272727,11,11,11,0.2727272727272727
zsre-10236,0.85,1.0,0.2727272727272727,11,11,11,0.2727272727272727
zsre-10236,0.8,1.0,0.2727272727272727,11,11,11,0.2727272727272727
zsre-10236,0.75,1.0,0.2727272727272727,11,11,11,0.2727272727272727
zsre-10236,0.7,1.0,0.2727272727272727,11,11,11,0.2727272727272727
zsre-10237,0.95,1.0,0.2727272727272727,11,11,11,0.2727272727272727
zsre-10237,0.9,1.0,0.2727272727272727,11,11,11,0.2727272727272727
zsre-10237,0.85,1.0,0.2727272727272727,11,11,11,0.2727272727272727
zsre-10237,0.8,1.0,0.2727272727272727,11,11,11,0.2727272727272727
zsre-10237,0.75,0.0,0.2727272727272727,11,11,11,1.2727272727272727
zsre-10237,0.7,1.0,0.2727272727272727,11,11,11,0.2727272727272727
zsre-10247,0.95,1.0,0.0,5,5,5,0.0
zsre-10247,0.9,1.0,0.0,5,5,5,0.0
zsre-10247,0.85,1.0,0.0,5,5,5,0.0
zsre-10247,0.8,1.0,0.0,5,5,5,0.0
zsre-10247,0.75,1.0,0.0,5,5,5,0.0
zsre-10247,0.7,1.0,0.0,5,5,5,0.0
zsre-10312,0.95,1.0,0.0,5,5,5,0.0
zsre-10312,0.9,1.0,0.0,5,5,5,0.0
zsre-10312,0.85,1.0,0.0,5,5,5,0.0
zsre-10312,0.8,1.0,0.0,5,5,5,0.0
zsre-10312,0.75,1.0,0.0,5,5,5,0.0
zsre-10312,0.7,1.0,0.0,5,5,5,0.0
zsre-10318,0.95,0.0,0.0,5,5,5,1.0
zsre-10318,0.9,0.0,0.0,5,5,5,1.0
zsre-10318,0.85,0.0,0.0,5,5,5,1.0
zsre-10318,0.8,0.0,0.0,5,5,5,1.0
zsre-10318,0.75,0.0,0.0,5,5,5,1.0
zsre-10318,0.7,1.0,0.0,5,5,5,0.0
zsre-10339,0.95,1.0,0.0,5,5,5,0.0
zsre-10339,0.9,1.0,0.0,5,5,5,0.0
zsre-10339,0.85,1.0,0.0,5,5,5,0.0
zsre-10339,0.8,1.0,0.0,5,5,5,0.0
zsre-10339,0.75,1.0,0.0,5,5,5,0.0
zsre-10339,0.7,1.0,0.0,5,5,5,0.0
zsre-10342,0.95,0.0,0.0,5,5,5,1.0
zsre-10342,0.9,0.0,0.0,5,5,5,1.0
zsre-10342,0.85,0.0,0.0,5,5,5,1.0
zsre-10342,0.8,0.0,0.0,5,5,5,1.0
zsre-10342,0.75,0.0,0.0,5,5,5,1.0
zsre-10342,0.7,1.0,0.0,5,5,5,0.0
zsre-10362,0.95,0.0,0.0,6,6,6,1.0
zsre-10362,0.9,0.0,0.0,6,6,6,1.0
zsre-10362,0.85,0.0,0.0,6,6,6,1.0
zsre-10362,0.8,0.0,0.0,6,6,6,1.0
zsre-10362,0.75,0.0,0.0,6,6,6,1.0
zsre-10362,0.7,1.0,0.16666666666666666,6,6,6,0.16666666666666666
zsre-10366,0.95,0.0,0.0,20,20,20,1.0
zsre-10366,0.9,0.0,0.0,20,20,20,1.0
zsre-10366,0.85,0.0,0.0,20,20,20,1.0
zsre-10366,0.8,1.0,0.0,20,20,20,0.0
zsre-10366,0.75,1.0,0.0,20,20,20,0.0
zsre-10366,0.7,1.0,0.05,20,20,20,0.05
zsre-10372,0.95,0.0,0.0,5,5,5,1.0
zsre-10372,0.9,0.0,0.0,5,5,5,1.0
zsre-10372,0.85,0.0,0.0,5,5,5,1.0
zsre-10372,0.8,0.0,0.0,5,5,5,1.0
zsre-10372,0.75,0.0,0.0,5,5,5,1.0
zsre-10372,0.7,1.0,0.0,5,5,5,0.0
zsre-10389,0.95,0.0,0.0,5,5,5,1.0
zsre-10389,0.9,0.0,0.0,5,5,5,1.0
zsre-10389,0.85,0.0,0.0,5,5,5,1.0
zsre-10389,0.8,1.0,0.0,5,5,5,0.0
zsre-10389,0.75,1.0,0.0,5,5,5,0.0
zsre-10389,0.7,1.0,0.0,5,5,5,0.0
zsre-10390,0.95,1.0,0.125,8,8,8,0.125
zsre-10390,0.9,1.0,0.125,8,8,8,0.125
zsre-10390,0.85,1.0,0.125,8,8,8,0.125
zsre-10390,0.8,1.0,0.125,8,8,8,0.125
zsre-10390,0.75,1.0,0.125,8,8,8,0.125
zsre-10390,0.7,1.0,0.125,8,8,8,0.125
zsre-10392,0.95,1.0,0.14285714285714285,7,7,7,0.14285714285714285
zsre-10392,0.9,1.0,0.14285714285714285,7,7,7,0.14285714285714285
zsre-10392,0.85,1.0,0.14285714285714285,7,7,7,0.14285714285714285
zsre-10392,0.8,1.0,0.14285714285714285,7,7,7,0.14285714285714285
zsre-10392,0.75,1.0,0.14285714285714285,7,7,7,0.14285714285714285
zsre-10392,0.7,1.0,0.14285714285714285,7,7,7,0.14285714285714285
zsre-10404,0.95,0.0,0.0,5,5,5,1.0
zsre-10404,0.9,0.0,0.0,5,5,5,1.0
zsre-10404,0.85,0.0,0.0,5,5,5,1.0
zsre-10404,0.8,0.0,0.0,5,5,5,1.0
zsre-10404,0.75,1.0,0.0,5,5,5,0.0
zsre-10404,0.7,1.0,0.0,5,5,5,0.0
zsre-10411,0.95,0.0,0.0,5,5,5,1.0
zsre-10411,0.9,0.0,0.0,5,5,5,1.0
zsre-10411,0.85,0.0,0.0,5,5,5,1.0
zsre-10411,0.8,0.0,0.0,5,5,5,1.0
zsre-10411,0.75,0.0,0.0,5,5,5,1.0
zsre-10411,0.7,1.0,0.0,5,5,5,0.0
zsre-1042,0.95,0.0,0.0,7,7,7,1.0
zsre-1042,0.9,0.0,0.0,7,7,7,1.0
zsre-1042,0.85,0.0,0.0,7,7,7,1.0
zsre-1042,0.8,0.0,0.0,7,7,7,1.0
zsre-1042,0.75,1.0,0.0,7,7,7,0.0
zsre-1042,0.7,1.0,0.0,7,7,7,0.0
zsre-10422,0.95,1.0,0.0,5,5,5,0.0
zsre-10422,0.9,1.0,0.0,5,5,5,0.0
zsre-10422,0.85,1.0,0.0,5,5,5,0.0
zsre-10422,0.8,1.0,0.0,5,5,5,0.0
zsre-10422,0.75,1.0,0.0,5,5,5,0.0
zsre-10422,0.7,1.0,0.0,5,5,5,0.0
zsre-10423,0.95,0.0,0.0,5,5,5,1.0
zsre-10423,0.9,0.0,0.0,5,5,5,1.0
zsre-10423,0.85,0.0,0.0,5,5,5,1.0
zsre-10423,0.8,0.0,0.0,5,5,5,1.0
zsre-10423,0.75,1.0,0.0,5,5,5,0.0
zsre-10423,0.7,1.0,0.0,5,5,5,0.0
