target_key,gap,gap_rho,gap_eligible
zsre-1000,0.0,0.85,True
zsre-1001,0.2,0.8,True
zsre-10017,0.0,0.9,True
zsre-10018,0.08333333333333333,0.85,True
zsre-1002,0.0,0.95,True
zsre-10024,0.0,0.7,True
zsre-10026,0.0,0.95,True
zsre-10034,0.0,0.85,True
zsre-10045,0.15,0.95,True
zsre-10046,0.15,0.95,True
zsre-10047,0.15,0.95,True
zsre-10048,0.15,0.95,True
zsre-10059,0.0,0.95,True
zsre-10062,0.0,0.8,True
zsre-10063,0.0,0.95,True
zsre-10064,0.0,0.8,True
zsre-10096,0.0,0.95,True
zsre-10097,0.0,0.95,True
zsre-10104,0.0,0.95,True
zsre-10109,0.0,0.95,True
zsre-1012,0.0,0.95,True
zsre-10121,0.08333333333333333,0.75,True
zsre-10122,0.1111111111111111,0.75,True
zsre-10140,0.0,0.7,True
zsre-10141,0.2,0.95,True
zsre-10154,0.0,0.95,True
zsre-10166,0.0,0.95,True
zsre-10212,0.0,0.7,True
zsre-10218,0.0,0.95,True
zsre-10225,0.0,0.95,True
zsre-10227,0.0,0.8,True
zsre-10233,0.3333333333333333,0.95,True
zsre-10235,0.375,0.95,True
zsre-10236,0.2727272727272727,0.95,True
zsre-10237,0.2727272727272727,0.95,True
zsre-10247,0.0,0.95,True
zsre-10312,0.0,0.95,True
zsre-10318,0.0,0.7,True
zsre-10339,0.0,0.95,True
zsre-10342,0.0,0.7,True
zsre-10362,0.16666666666666666,0.7,True
zsre-10366,0.0,0.8,True
zsre-10372,0.0,0.7,True
zsre-10389,0.0,0.8,True
zsre-10390,0.125,0.95,True
zsre-10392,0.14285714285714285,0.95,True
zsre-10404,0.0,0.75,True
zsre-10411,0.0,0.7,True
zsre-1042,0.0,0.75,True
zsre-10422,0.0,0.95,True
zsre-10423,0.0,0.75,True
zsre-1043,0.0,0.85,True
zsre-10431,0.0,0.95,True
zsre-10433,0.0,0.7,True
zsre-10434,0.05,0.7,True
zsre-10435,0.0,0.7,True
zsre-10438,0.0,0.95,True
zsre-10445,0.2,0.95,True
zsre-10447,0.2,0.95,True
zsre-10456,0.0,0.95,True
zsre-10460,0.0,0.7,True
zsre-10461,0.0,0.7,True
zsre-10465,0.0,0.7,True
zsre-10466,0.0,0.95,True
zsre-1047,0.0,0.95,True
zsre-10481,0.0,0.95,True
zsre-10487,0.0,0.95,True
zsre-10488,0.05,0.85,True
zsre-1049,0.0,0.95,True
zsre-10490,0.1,0.85,True
zsre-10492,0.1,0.85,True
zsre-10496,0.23076923076923078,0.8,True
zsre-10497,0.23076923076923078,0.8,True
zsre-10498,0.1875,0.85,True
zsre-105,0.0,0.7,True
zsre-10500,0.1875,0.8,True
zsre-10502,0.0,0.95,True
zsre-10517,0.0,0.95,True
zsre-10568,0.13333333333333333,0.7,True
zsre-10569,0.1,0.75,True
zsre-10570,0.07692307692307693,0.75,True
zsre-10574,0.0,0.95,True
zsre-10577,0.3333333333333333,0.8,True
zsre-10578,0.5,0.85,True
zsre-10580,0.3333333333333333,0.75,True
zsre-10581,0.3333333333333333,0.8,True
zsre-10582,0.4,0.7,True
zsre-106,1.0,0.95,True
zsre-10622,0.2,0.75,True
zsre-10623,0.25,0.95,True
zsre-10625,0.25,0.95,True
zsre-10626,0.29411764705882354,0.95,True
zsre-10627,0.25,0.95,True
zsre-10628,0.2631578947368421,0.95,True
zsre-10633,0.0,0.95,True
zsre-10634,0.0,0.7,True
zsre-10638,0.0,0.95,True
zsre-10648,0.0,0.95,True
zsre-10652,0.0,0.7,True
zsre-10653,0.058823529411764705,0.75,True
zsre-10654,0.3076923076923077,0.95,True
zsre-10655,0.3076923076923077,0.95,True
zsre-10656,0.23529411764705882,0.95,True
zsre-10657,0.15,0.7,True
zsre-10658,0.2,0.95,True
zsre-1066,0.0,0.95,True
zsre-10736,0.0,0.7,True
zsre-10757,0.0,0.95,True
zsre-10763,0.3333333333333333,0.95,True
zsre-10764,0.2857142857142857,0.95,True
zsre-10773,0.3333333333333333,0.95,True
zsre-108,0.2857142857142857,0.7,True
zsre-10806,0.15,0.75,True
zsre-10807,0.15,0.8,True
zsre-10808,0.1875,0.7,True
zsre-10809,0.15,0.75,True
zsre-10811,0.0,0.95,True
zsre-10814,0.0,0.95,True
zsre-10820,0.0,0.95,True
zsre-10829,0.0,0.7,True
zsre-10832,0.0,0.95,True
zsre-10838,0.1,0.95,True
zsre-10839,0.1,0.95,True
zsre-10840,0.15,0.75,True
zsre-10841,0.1,0.95,True
zsre-10853,0.0,0.85,True
zsre-10865,0.0,0.95,True
zsre-10875,0.0,0.95,True
zsre-10879,0.0,0.95,True
zsre-1089,0.0625,0.8,True
zsre-10892,0.0,0.95,True
zsre-1091,0.2,0.8,True
zsre-10913,0.0,0.95,True
zsre-10927,0.0,0.7,True
zsre-10937,0.2,0.95,True
zsre-10938,0.2,0.95,True
zsre-10946,0.0,0.95,True
zsre-10954,0.0,0.8,True
zsre-10955,0.0,0.95,True
zsre-10958,0.0,0.95,True
zsre-10969,0.14285714285714285,0.95,True
zsre-1097,0.0,0.7,True
zsre-10970,0.125,0.95,True
zsre-10981,0.0,0.95,True
zsre-10989,0.0,0.95,True
zsre-11000,0.0,0.95,True
zsre-11017,0.0,0.95,True
zsre-1102,0.0,0.8,True
zsre-11042,0.0,0.95,True
zsre-11054,0.2,0.95,True
zsre-11055,0.2,0.95,True
zsre-11056,0.0,0.95,True
zsre-11080,0.0,0.95,True
zsre-11082,0.0,0.95,True
zsre-11090,0.0,0.95,True
zsre-11091,0.0,0.75,True
zsre-11092,0.0,0.7,True
zsre-11093,0.05,0.7,True
zsre-1110,0.0,0.95,True
zsre-11110,0.0,0.95,True
zsre-11125,0.0,0.95,True
zsre-11134,0.0,0.95,True
zsre-11136,0.0,0.75,True
zsre-11137,0.125,0.95,True
zsre-11138,0.0625,0.95,True
zsre-1119,0.0,0.95,True
zsre-11190,0.0,0.95,True
zsre-11194,0.0,0.7,True
zsre-11208,0.0,0.95,True
zsre-11216,0.0,0.75,True
zsre-1124,0.0,0.95,True
zsre-11247,0.0,0.95,True
zsre-11256,0.0,0.95,True
zsre-1126,0.0,0.95,True
zsre-11264,0.0,0.75,True
zsre-11267,0.0,0.95,True
zsre-11271,0.0,0.7,True
zsre-11274,0.0,0.95,True
zsre-11282,0.0,0.95,True
zsre-11287,0.0,0.95,True
zsre-1130,0.0,0.8,True
zsre-11308,0.0,0.95,True
zsre-11313,0.0,0.95,True
zsre-11352,0.0,0.95,True
zsre-11356,0.16666666666666666,0.95,True
zsre-11357,0.14285714285714285,0.95,True
zsre-11362,0.0,0.95,True
zsre-11367,0.0,0.75,True
zsre-11386,0.0,0.95,True
zsre-11419,0.0,0.95,True
zsre-11422,0.0,0.95,True
zsre-11445,0.0,0.7,True
zsre-11446,0.0,0.95,True
zsre-11447,0.0,0.75,True
zsre-11458,0.0,0.95,True
zsre-11463,0.0,0.95,True
zsre-1147,0.2,0.7,True
zsre-1148,0.0,0.7,True
zsre-11490,0.6,0.95,True
zsre-11491,0.6,0.95,True
zsre-11492,0.6,0.95,True
zsre-11493,0.6,0.95,True
zsre-11494,0.0,0.7,True
zsre-11496,0.0,0.95,True
zsre-11499,0.0,0.7,True
zsre-11500,0.0,0.95,True
zsre-11532,0.0,0.8,True
zsre-11535,0.0,0.95,True
zsre-11536,0.0,0.95,True
zsre-11564,0.0,0.95,True
zsre-11599,0.0,0.7,True
zsre-11606,0.3333333333333333,0.95,True
zsre-11607,0.4,0.95,True
zsre-11608,0.3333333333333333,0.95,True
zsre-11643,0.0,0.95,True
zsre-11645,0.0,0.95,True
zsre-11655,0.0,0.8,True
zsre-11668,0.0,0.8,True
zsre-11669,0.2,0.95,True
zsre-11670,0.2,0.95,True
zsre-11694,0.05555555555555555,0.95,True
zsre-11695,0.0625,0.95,True
zsre-11703,0.0,0.95,True
zsre-1172,0.0,0.95,True
zsre-11732,0.0,0.95,True
zsre-11734,0.3333333333333333,0.75,True
zsre-11735,0.25,0.75,True
zsre-11736,0.0,0.7,True
zsre-11739,0.0,0.95,True
zsre-11741,0.0,0.75,True
zsre-11750,0.0,0.95,True
zsre-11751,0.0,0.95,True
zsre-11754,0.07142857142857142,0.95,True
zsre-11775,0.0,0.95,True
zsre-11777,0.0,0.95,True
zsre-11778,0.0,0.7,True
zsre-11780,0.0,0.95,True
zsre-11802,0.0,0.95,True
zsre-11804,0.0,0.95,True
zsre-11808,0.0,0.75,True
zsre-11827,0.0,0.95,True
zsre-11832,0.0,0.95,True
zsre-11836,0.21428571428571427,0.75,True
zsre-11837,0.21428571428571427,0.75,True
zsre-11838,0.375,0.75,True
zsre-11839,0.23076923076923078,0.75,True
zsre-1185,0.0,0.95,True
zsre-11854,0.0,0.95,True
zsre-11857,0.0,0.7,True
zsre-11859,0.0,0.75,True
zsre-11863,0.0,0.95,True
zsre-11865,0.16666666666666666,0.95,True
zsre-11866,0.14285714285714285,0.95,True
zsre-11889,0.0,0.7,True
zsre-11890,0.0,0.75,True
zsre-11903,0.0,0.95,True
zsre-11907,0.6,0.95,True
zsre-11908,0.6,0.95,True
zsre-11911,0.6,0.95,True
zsre-11912,0.6,0.95,True
zsre-11947,0.0,0.75,True
zsre-11950,0.0,0.8,True
zsre-11957,0.0,0.95,True
zsre-1196,0.0,0.95,True
zsre-11998,0.2,0.8,True
zsre-11999,0.0,0.95,True
zsre-12003,0.0,0.95,True
zsre-12021,0.0,0.75,True
zsre-12027,0.0,0.75,True
zsre-12037,0.0,0.95,True
zsre-12066,0.0,0.85,True
zsre-12068,0.0,0.8,True
zsre-12092,0.0,0.8,True
zsre-12096,0.0,0.7,True
zsre-12097,0.0,0.95,True
zsre-12098,0.21428571428571427,0.85,True
zsre-12099,0.09090909090909091,0.9,True
zsre-12100,0.1111111111111111,0.7,True
zsre-12102,0.0,0.8,True
zsre-12104,0.0,0.8,True
zsre-12126,0.0,0.95,True
zsre-12127,0.05,0.8,True
zsre-12128,0.05,0.8,True
zsre-12138,0.0,0.95,True
zsre-12144,0.0,0.7,True
zsre-12154,0.07142857142857142,0.95,True
zsre-12157,0.2,0.95,True
zsre-12161,0.0,0.95,True
zsre-12174,0.0,0.75,True
zsre-12186,0.0,0.95,True
zsre-12192,0.0,0.95,True
zsre-12194,0.0,0.95,True
zsre-12219,0.16666666666666666,0.7,True
zsre-12221,0.0,0.95,True
zsre-12236,0.0,0.95,True
zsre-12242,0.0,0.8,True
zsre-12245,0.0,0.85,True
zsre-12250,0.0,0.75,True
zsre-12279,0.0,0.95,True
zsre-12282,0.0,0.95,True
zsre-12289,0.0,0.95,True
zsre-12299,0.0,0.95,True
zsre-12301,0.0,0.95,True
zsre-12303,0.0,0.95,True
zsre-12310,0.06666666666666667,0.95,True
zsre-1232,0.0,0.95,True
zsre-12325,0.0,0.95,True
zsre-12332,0.0,0.95,True
zsre-12338,0.0,0.95,True
zsre-1234,0.0,0.95,True
zsre-12340,0.0,0.95,True
zsre-12343,0.0,0.95,True
zsre-1235,0.0,0.7,True
zsre-12361,0.2,0.7,True
zsre-12362,0.0,0.95,True
zsre-1237,0.0,0.95,True
zsre-12370,0.0,0.85,True
zsre-12371,0.2,0.95,True
zsre-12373,0.0,0.7,True
zsre-1238,0.0,0.95,True
zsre-12389,0.0,0.95,True
zsre-12411,0.0,0.95,True
zsre-12421,0.0,0.95,True
zsre-12427,0.0,0.85,True
zsre-12440,0.0,0.95,True
zsre-12456,0.0,0.95,True
zsre-12458,0.0,0.75,True
zsre-12459,0.0,0.95,True
zsre-12463,0.2,0.95,True
zsre-12464,0.0,0.95,True
zsre-12465,0.2,0.95,True
zsre-12480,0.0,0.75,True
zsre-12516,0.0,0.95,True
zsre-12521,0.05,0.7,True
zsre-12529,0.0,0.95,True
zsre-12536,0.0,0.95,True
zsre-12551,0.0,0.7,True
zsre-12552,0.2,0.95,True
zsre-12553,0.0,0.7,True
zsre-12554,0.2,0.95,True
zsre-12579,0.0,0.8,True
zsre-1258,0.0,0.75,True
zsre-12581,0.2,0.75,True
zsre-12587,0.08333333333333333,0.95,True
zsre-12588,0.07692307692307693,0.95,True
zsre-12595,0.0,0.95,True
zsre-12607,0.0,0.95,True
zsre-12616,0.0,0.7,True
zsre-12627,0.1111111111111111,0.75,True
zsre-12629,0.15384615384615385,0.7,True
zsre-12630,0.2,0.7,True
zsre-12631,0.2,0.7,True
zsre-12632,0.1111111111111111,0.75,True
zsre-12643,0.0,0.75,True
zsre-12652,0.0,0.95,True
zsre-12653,0.1,0.8,True
zsre-12654,0.07692307692307693,0.8,True
zsre-12655,0.0,0.75,True
zsre-1266,0.0,0.85,True
zsre-12667,0.1,0.7,True
zsre-1268,0.2,0.85,True
zsre-1269,0.125,0.9,True
zsre-12696,0.0,0.95,True
zsre-12702,0.0,0.95,True
zsre-12713,0.0,0.95,True
zsre-12716,0.0,0.8,True
zsre-12743,0.0,0.8,True
zsre-12749,0.0,0.7,True
zsre-12758,0.0,0.95,True
zsre-12764,0.0,0.95,True
zsre-12769,0.0,0.75,True
zsre-12770,0.0,0.75,True
zsre-12772,0.0,0.75,True
zsre-12779,0.0,0.95,True
zsre-1278,0.0,0.95,True
zsre-12785,0.0,0.95,True
zsre-12806,0.0,0.8,True
zsre-12807,0.0,0.95,True
zsre-1281,0.125,0.7,True
zsre-1282,0.0625,0.7,True
zsre-12824,0.0,0.95,True
zsre-12826,0.0,0.85,True
zsre-12848,0.0,0.8,True
zsre-12849,0.0,0.7,True
zsre-1285,0.14285714285714285,0.75,True
zsre-1286,0.14285714285714285,0.75,True
zsre-12860,0.0,0.95,True
zsre-12864,0.0,0.95,True
zsre-12865,0.0,0.95,True
zsre-12870,0.0,0.95,True
zsre-12875,0.0,0.8,True
zsre-12920,0.0,0.95,True
zsre-12942,0.2,0.95,True
zsre-12946,0.2,0.95,True
zsre-12949,0.09090909090909091,0.75,True
zsre-12952,0.2,0.8,True
zsre-12958,0.0,0.75,True
zsre-12968,0.0,0.95,True
zsre-12998,0.0,0.95,True
zsre-13,0.1,0.75,True
zsre-1301,0.0,0.95,True
zsre-13021,0.0,0.85,True
zsre-13022,0.0,0.95,True
zsre-13023,0.17647058823529413,0.75,True
zsre-13024,0.17647058823529413,0.8,True
zsre-13041,0.0,0.95,True
zsre-13060,0.0,0.95,True
zsre-13113,0.0,0.7,True
zsre-13134,0.0,0.95,True
zsre-13152,0.0,0.75,True
zsre-13156,0.0,0.95,True
zsre-13163,0.0,0.75,True
zsre-13176,0.2,0.95,True
zsre-13179,0.2,0.95,True
zsre-13203,0.0,0.75,True
zsre-1321,0.0,0.95,True
zsre-13248,0.0,0.7,True
zsre-13268,0.0,0.95,True
zsre-13271,0.0,0.7,True
zsre-13272,0.15,0.8,True
zsre-13273,0.15,0.8,True
